question,answer,Declarative_Text
"Good afternoon, Miss Bonhomme.",Good afternoon. | (Plaintiff's Exhibit No. PT1163 for i.d.) f
Who is Johnny?,"Johnny was a representative of the Philip Morris brand. He was an individual who was a page, and he promoted the Philip Morris brand of cigarettes for the company."
"Let me pause you there just so it's clear. Philip Morris was at one point in time a brand of cigarettes that was manufactured and sold by Philip 0 Morris, the company, right?",That's correct.
So we're talking he was a spokesperson for a particular brand of cigarettes sold by the Philip 4 Morris company?,That's correct.
"And that brand is no longer sold by the company, is it?",That's right. It's no longer sold by the company.
"Mr. Bigger showed you a handwritten document written by an individual named Gus Wayne. And just so we're clear, I think what you said was Gus Wayne was a Johnny, Jr. So just briefly so everyone no one's confused, what's the difference between who Johnny was and who the Johnny, Jrs. were?","Okay. Johnny was the spokesperson for the brand that achieved almost like a celebrity status. And he was the gentleman who would yell ""Call For Philip Morris"" in perfect pitch, and he was used in commercial advertising. So he would appear in print media. There would be photographs of Johnny or perhaps on a as a in a commercial on television. Johnny, Jrs. were used at a more local level. And they were individuals who were similar to Johnny, almost like Johnny like, and they would appear in various areas in the country. They were not part of the broader commercial communications."
"Okay. And is it your understanding that 4 Gus Wayne was a Johnny, Jr. who made some public appearances in an effort to promote the Philip Morris brand of cigarettes?",Yes.
"Okay. Mr. Bigger showed you a handwritten document written by Gus Wayne suggesting that Johnny, Jr. should hand out chocolate cigarettes to children. You recall that, right?",I do.
You think the idea of handing out chocolate cigarettes to children was a good idea?,I think it's a terrible idea.
In your experience in a company the size of Philip Morris do some people come up with bad ideas?,
"Now did you see any adver Let me ask it this way. Did you look to see if Philip Morris, anybody at Philip Morris, the VP of sales who received 0 that note from Gus Wayne or anybody else at Philip Morris took Mr. Wayne's suggestion and manufactured 2 chocolates cigarettes to be handed out to children?","No, I've not seen evidence that that happened. I've seen evidence to the contrary. 5 Q. During the same period of time, have you seen other instances in correspondence where the company particularly took steps to make sure that Johnny or Johnny, Jr. wasn't used in a way that appealed to youth and people under the age of 18?"
"Let me show you this. We're going to mark Exhibit, defense Exhibit Number 1, this is a July 21st, 1949 letter to Miss Milbrath.",
Do you have what we've marked as defense Exhibit Number 1?,
That's Number 1 there.,Okay.
"So we'll give you the we'll give you marked version, yeah. Brent had it right the first time. Okay. Can you can you confirm for me, Miss Bonhomme, that this is a July 21st, 1949 letter from Ray Jones to, I think it's S.K. Milbrath?",Yes.
You understand this to be a letter in response to a consumer letter sent into the company?,"That's my understanding, yes."
"Okay. And let me read this along with you. First paragraph, ""We appreciate your suggestion that we supply Miss Patricia Milbrath with, quote, 'Call For Philip Morris' insignia to be sewn on Johnny uniforms."" Did I read that correctly?",Yes. \
"Okay. It then goes on to say, ""We find ourselves unable to comply with the suggestion. Our two reasons: One, we have made a policy to discontinue furnishing uniforms or parts of uniforms due to the expense involved and/or inability to control the use to which this material is part "" "" is put after it has been received."" Correct?",Correct.
"Now let me focus you on this next part. It says, ""Secondly, we question the wisdom of permitting children, in this case, to become walking advertisements for our brand of cigarettes."" Did I read that correctly?",Yes. j
"And he goes on to say, ""We hope that you will understand our position and explain it satisfactorily to Miss Milbrath.""",Yes. :
You see that?,I see that.
"Is this an example of the company it's, I think, three years earlier than the first letter that Mr. Bigger showed you, but in that same period of time ; the late '40s, early 1950s making an effort to make sure that Johnny or Johnny, Jr. was not used in way that might appeal to people under the age of 18 and youth in general?","Yes, it is. \ (Defense Exhibit No. 2 for i.d.) j;"
"Let me show you what we will mark as deposition Exhibit Number 2. Well, let me hand you this one.",
You have what's been marked as Exhibit Number 2?,Yes.
"Okay. This is a July 22, 1954 letter from James Bowling to a Mrs. James G. Partridge. Do you see that?",Yes.
And the tenor of the letter is essentially that Miss Partridge has asked Mr. Bowling whether Philip Morris will participate in and be a part of a homecoming celebration to occur at a school; is that right?,Yes.
"And let's take a look at the third paragraph. Mr. Bowling writes back in part, ""Unfortunately, we will be unable to give you any direct assistance because of a strict ruling which prohibits any company action which might possibly be construed by others as an attempt on our part to influence and/or connect children with the promotion cigarettes. We will, therefore, be unable to comply with your request."" See that?",Yes.
"Okay. This is dated July the 22nd, 1954, right?",Yes.
"And I believe this is about a year or so after a number of the it's actually about six months after a number of the letters that Mr. Bigger showed you when he was asking you questions about Johnny and Johnny, Jr., right?",Correct.
"Okay. Have you seen any indication in either the documents that Mr. Bigger has shown you or any of the other documents you've reviewed from that period of time that Philip Morris was using Johnny or Johnny, Jr. to try to market its cigarettes to young people under the age of 18?",
"Okay. In the information you've been provided about Barbara Lourie's smoking history, have you seen any indication that Miss Lourie ever smoked Philip Morris brand cigarettes?","Yes, I saw that she smoked Philip Morris brand cigarettes in the mid in the 1970s when she was approximately 30-years old."
"I'm sorry. And I wasn't clear. I mean, the 4 brand of cigarettes known as Philip Morris, did she ever smoke the brand of cigarettes known as Philip Morris?",Oh r no. !;
"Later in the 1970s she smoked a Philip Morris brand of cigarettes, Marlboro Red?",Marlboro Red. \
I just wanted to clear up that confusion.,Okay. j
"All right. Now if we were to move forward, if we were to move forward we were talking about a correspondence from 1949 and 1954. Have you seen other instances in the 1960s, for example, where Philip Morris made attempts to limit its cigarette brand advertising and marketing to adult smokers 18 and older?",Yes. \
Now Mr. Bigger talked to you about a CBS news program called The Teenage Smoker. You recall those questions?,Yes. \
A few years after that in 1964 did Philip Morris adopt something called The Cigarette Advertising Code?,Yes. \
Okay. Are you familiar with The Cigarette Advertising Code?,"Yes, I am. j="
Did it include restrictions that were designed to try to prevent cigarette advertising from having the an unintended appeal to people under the age of 18?,Yes. It had a number of components in order j to try to reduce exposure by young people to i cigarettes . ji
Okay. And was that adopted by Philip Morris in 1964?,Yes. \
"Okay. We're going to switch gears here, Miss Bonhomme. And there was a particular document that Mr. Bigger showed you from, I believe it was 1976. It was Excuse me. I misspoke. It's dated September 12, 1974. It was a memo written by a James Spector to a Mr. R. Fitzmaurice. Do you recall that document?",". I d o , y e s ."
I think for the record it's PT05054.,Yes.
"Okay. And just the re: line says, Marlboro Menthol analysis, Grand Rapids. And I want to just ask you a couple of quick questions about this document. Having read the document, what was it can you tell us what was going well, let me ask it this way. What was happening in Grand Rapids that sort of grabbed the attention of Mr. Spector?","Marlboro Menthol had a strong share in Grand Rapids. And Marlboro Menthol was a very very low share brand nationwide, so the Grand Rapids market was very unusual. It was a unique market. And they the market share for the brand was way out of proportion with the brands market share in the rest of the country."
"Okay. So the events that were well, let 0 me ask it this way. Based upon, did you review the charts that were attached to that document?",I did.
What do those charts tell us about whether 4 what was happening in Grand Rapids in 1974 was representative of what was happening everywhere else around the United States with respect to Marlboro Green?,"Well, Grand well, Grand Rapids was an anomaly. It was not indicative of the brand's performance in the rest of the country, so it was an odd market. And Jim Spector went out there to see why."
"Okay. And then so that's what prompted, if I'm understanding correctly, because the market share was an anomaly in Grand Rapids, that's what prompted Mr. Spector to go see what was happening there because it was out of keeping with what was happening with that brand of cigarettes everywhere else around the country?",That's correct.
"All right. Now this memo does reflect the fact that some proprietors of convenience stores commented to Mr. Spector that they believe that teenagers were buying Marlboro Menthol cigarettes, right?","That's right. 0 Q. Now if we go into if we move from this point of time from the late, the mid 1970s into the 1980s and 1990s, does Philip Morris begin to become more aggressive in terms of trying to aid retailers and 4 other retail outlets who sell cigarettes in how to enforce age restriction laws on the sale of cigarettes?"
"Okay. And not to sort of hold you to a particular year, these programs, It's The Law, We Card Action Against Access, these are programs that Philip Morris adopted and promoted in the 1980s and 1990s?",That's correct.
"All right. Am I correct, though, that the goal essentially was to assist retailers in enforcing the law so as not to sell cigarettes to people who are minors? 0 A. Yes.",
"And in your work with the Youth Smoking 2 Prevention Program, did you attempt to monitor whether those programs were successful in helping retailers 4 minimize the extent to which minors were able to 5 purchase cigarettes? 0 j",Yeah. We attempted to get feedback on the | programs and revise materials and improve them as we | came up with ideas on how to do that and expand the | reach of those programs and the depth of those | 5 programs.
And did Philip Morris voluntarily adopt or institute these retail programs? 8 A. Yes.,
And why? Why was it important to Philip Morris that they do these things.,"Because they recognized they had a role to | play in reducing youth smoking rates, and they thought I we had the unique ability to influence the retailer, I that there were many organizations working to encourage | kids not to smoke and to reduce smoking rates. But we I thought we had the relationship with the retailers so | that we could execute programs that would communicate | the importance to the general public and to retailers | 19 about the seriousness of this issue. 0 MR. GERAGHTY: Okay. You know what? Let's f take a short two-minute break. I may be done. I I'm probably going to cut several things here, | 23 but just give me two minutes to double-check 4 that. |"
And you were also asked some questions about | her smoking of Philip Morris brands. Do you recall that?,Yes. |
You said that you received some information to review in that regard; is that right?,"Yes, I heard I some information was | reviewed with me, yes. |"
"Right. And I was going to try and break that up a little bit. One time I think you said you heard some information. Another time you said you saw I some information, I thought. 15 A. No, no, I Q_. Did you receive any deposition transcripts to actually review?","No, I did not. I"
Okay. All right. So you didn't read any 0 deposition transcripts from this case?,I didn't read them. I heard some of the I 22 information from
Okay. 4 A. documents. I 5 Q. Someone communicated information from the d e p o s i t i o n s t o you?,Y e s .
Is that right?,Yes.
"Okay. And as part of that, I think one of the people who was mentioned was Miss Lourie's husband or widower, Jim Lourie?","Yes, Mr. Lourie was mentioned, yes."
"Mr. Lourie. Okay. No one who spoke with you, though, talked to you about Miss Linda Schneider?",No.
You haven't heard that name before?,No.
No one spoke with you about the fact that Ms. Schneider and Miss Lourie were friends as children?,No.
"Okay. So to the extent that Miss Schneider has talked about Mrs. Lourie's first smoking experiences with her at the age of 12, you don't have 0 any information about that?",No.
"And, likewise, to the extent that Ms. Schneider has talked about the fact that the girls, 4 what she the word she used was ""caged"" or ""caged,"" took cigarettes from their parents to smoke, you don't know about that?",
Okay.,"But I didn't ask specifically where did that I information come from, whose deposition provided that \ information."
Okay.,I didn't think to ask that. j;
"But you were told that Ms. Lourie, at least at the age of 12, she was sneaking cigarettes from her i; parents?",Yes. I
You were told that?,Yeah. I don't know exactly what age but that she was I
"Right. Well, the",that she I
"Okay. As part of your work in youth smoking prevention that Mr. Geraghty asked you about, I presume you had an opportunity to review different Surgeon General's reports on smoking and health and some of the conclusions of those Surgeon General's reports?",I had the opportunity to review them. I can't say that I have too much of a recollection of which ones and what I may have -- may have reviewed of those reports.
"Well, do you recall that's 1994, or do you recall ever coming to understand that the 1994 Surgeon General's report was specifically on youth smoking or smoking amongst teens and children and adolescence?","Yes, I remember that."
"Okay. I assume in your work with youth smoking prevention you would have at least been familiar with that Surgeon General's report, if not 0 others?",Yes. And I would have reviewed portions of it. Maybe the whole report. I don't remember specifically. I reviewed so much information in that positioning.
Do you recall reading in that report that the Surgeon General's conclusion was that nine out of ten smokers began smoking by age 18?,
"If that fact is in the 1994 Surgeon General's report with regard to the number of smokers that begin smoking by age 18, would you challenge the Surgeon General's conclusion?",
"Sure. We just this is an issue we've discussed about whether or not most smokers begin smoking by the time they turn 18. And, you know, with regard to the fact that you did spend so much time in the youth smoke prevention division in the late 1990s and into the early 2000s, I just want to know if you're 1 familiar and you recall that the Surgeon General's report has specific findings on that exact issue.",I
"No, I appreciate your clarification.","-- but just to be clear. And I don't remember the details of that report. Yes, I remember it was focused on the topic of youth smoking, and, yes, I remember that there were statistics about when kids initiate smoking. But I don't remember what data was used and how it was reported, so I can't really speak to it as I'm sitting here."
"Well, let's assume assume for me that the Surgeon General's report in 1994 says that nine out of ten smokers started smoking by the age of 18. And if you if the assumption is going to be objected to by counsel, I'm happy to pull it up on my iPad. I can 4 show you the document, I can show you the data on the website. We can go and visit it.",
"Okay. And that's fine. I don't want you to feel like the information is somehow unsubstantiated if that's the concern. In other words, if you're just if you're not sure that that's what the Surgeon General's report concluded.","Oh, no, I will believe that you're properly : stating it. \"
"Okay. All right. So believing that I'm properly stating what the Surgeon General's report concluded that nine out of ten regular smokers started by the age of 18, does Philip Morris challenge that conclusion by the Surgeon General with regard to what we've talked about earlier that there's different data sources and that it depends on what you mean by started, and some of the things we've talked about earlier?","Yeah, the Marketing Department was in New York City, the Marketing Research Department was in New York City."
Right.,"And the R&D operation was in Richmond, Virginia. I mean, we talked to each other if that's what... probably worked in different areas."
Let me show you so this is a PT3405 that we marked for the record.,Yes.
"And just look at that first page there at the bottom. There's some you know, there's names. I think we talked about those earlier. But look at those names. And do you see after the names that are 0 on the right-hand side there's a little parenthetical and it says NYO?",Yes.
Does that stand for New York office?,"Yes, it does."
"Okay. So that document was sent to, at least bwo individuals in the New York office, right? That's correct. Okay. So even if Mr. Johnston was working in Richmond, it got to New York? Yes. All right. We also talked about the fact that there was Mr. Johnston wasn't in senior management, at least not to your, not that you were aware, right ? for Philip Morris? Yes. Dr. Seligman was in senior management, Excuse me. Dr. Seligman, he was a senior management individual? senior Yes, he was a senior executive, yes. James Morgan was an individual involved in management ? At various times in his career, yes. Eventually became president? That's correct. And Joe Cullman was involved in senior management ? That's correct. So was Hugh Cullman?",That's correct. i
"And those are all other individuals we've talked about today in various documents we've looked at, right?",Yes. j
"The Action Against Access and the We Card programs that you mentioned, and there was one included in that group, too",It's The Law.
"It's The Law. Okay. And forgive me, but I don't know the answer to It's The Law, but I believe Action Against Access and the We Card program, those were not around in the 1980s?",That's correct.
Those didn't start until about the middle of the 1990s?,Right. j
"Okay. It's The Law, is that the one that was around in the '80s?",Yes. ;
"Okay. So It's the Law was around in the 1980s, but Action Against Access and We Card, those programs were not implemented or adopted by Philip Morris until the mid 1990s?",That's correct. :
All right. The Cigarette Advertising Code you were asked about in,Yes. |;
"there was nothing like that before that you're aware of, was there?",That's correct. ;
"Okay. One of these documents Mr. Geraghty showed you about Johnny, Jr., I think it was defense 2, the one from Mrs. James Partridge, is that 2?",
"Okay. Let me just have you got you've probably got it there, right?",Do you have your copy?
I do have a copy. Do you have a copy of it?,"Oh, I thought I did. Do you have 2? j"
I don't think so.,"Oh, I have it. j"
"Oh, there it is. There it is. Okay. Yeah. So this one is the one from Mrs. James Partridge?",Yes. j
And this is the one where she wanted to do something with the homecoming celebration?,That's correct. :
Right. Did you get the letter? Do you know i what the idea was?,I saw the letter quite a while ago. I didn't get it recently.
The letter from Mrs. Partridge to Mr. Bowling?,Yes.
Or to the company?,Yes.
"Okay. Do you remember what he says, ""Your idea is a very unique and clever one.""",Yes. It was to put a badge on homecoming uniforms.
"Okay. And, you know, Mr. Geraghty may have asked you that, and I may have just missed it, and apologize. He says we can't do that, right?",Yes.
"But he does send them an autographed photograph of Johnny for her family, right?","Yes, he does."
"And at the top up there where it says CC Gens, it says, ""Please have one autograph picture inscribed with 'Best wishes to the Partridge family ' """,Yes. I
