continuing_examiner,Declarative_Text
"Is the reason that denicotinized cigarettes don't | il^Wl.!^i.tMWI^Wl.|.kW-H-!-W!^W 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 fe t Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 MBVM FREEDOM COURT REPORTING /* . Pago sell is because smokers all smokers want in a v* J"" \*q \X Sm \ v> t* C <X. O i j, ,x Vi** V. L> JL X #> %? Well, again, I think I already talked about the craving relief studies, I think that's .obviously not the case. I think, certainly, nicotine is expected by smokers, so in some cases, there may be smokers that certainly want nicotine. If your premise was absolutely correct, that all smokers ever wanted was nicotine, then Nicorette gum should be flying off the shelf, because you could get all the nicotine you'd want from that, and more now that it's over-the-counter, but that's not the case. Well, the nicotine gum does not go into the body the same way as the cigarettes, nicotine from cigarettes, V* trJ *- V#* V* L* tt But, it does go into the body and it does go to the brain and you can measure nicotine in the blood stream. And, as a matter of fact, when nicotine is in the blood stream, it stays in the blood stream much longer than the nicotine you get from a cigarette, so it does work and it does happen. And, certainly, no one is going to say here that Nicorette gum doesn't work. Do people get addicted to Nicorette gum? In theory, the FDA would say that the abuse liability 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 S (O Oi Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING is much lower on Nicorette gum, but I certainly -- I know, personally, people who have been using Nicorette gum for more than a decade. So I don't know the answer to that necessarily,",
"How long does the nicotine in Nicorette gum take to get to the nicotine receptors in a person's brain? / jt\ * JU "" O i u > l ^ i l C i l l X J L V v l 2 1 l L X l l U l L ' \ i '",
"So substantially longer than the seven seconds it >r* V"" U< JV. V** lC* I * V / X I L CA \S *Lt \A Cyl Jt, \*r I*. (* \Jf ft . ' . j","It takes longer than a cigarette, for sure. Q, Does a person who is addicted to smoking smoke more cigarettes than someone who is not addicted to smoking?"
"Okay. You don't have an opinion either way, whether an addition to cigarettes increases one's exposure to cigarette smoke?","I don't. I mean, that's another part of the definition that was changed in '88. If you look at the '64 definition, part of that definition is an ever increasing need for more and more of the drug. You don't find that in cigarette smoking behavior. You see a pretty average use of a pack, pack and a 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING half a day use, whether you're addicted or not addicted. So we don't see that continuing need to have more and more and more of those products."
"Well, certainly, you would agree with me that the person who starts smoking does not start smoking one pack a day, correct?","Typically, probably not, but, I mean, I can't guarantee that that's not the case for some individuals, but I would say probably not. Certainly, I didn't start smoking a pack a day."
"Certainly. You increased to pack a day from a few cigarettes a day, correct?","I think that's pretty much how it happened, yeah,"
"Isn't that relatively typical of how most cigarette smokers start smoking? A, I would think so, but, again, in terms of an u addictive behavior, look, I never smoked really more than a pack a day. I suppose I could have smoked three or four packs a day, but I never did.",
"And if you started smoking again today, you probably would aren't going to go back to three cigarettes a day, correct? A, I don't have any idea what I would do, as I don't plan on smoking cigarettes.",
"Let me kind of circle back to my question. Do 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING o Page 157 i addicted smokers smoke more than non addicted smokers? [ I believe I answered that already. I said I don't | know. If addiction increases-exposure -- I want you to j assume addiction increases exposure. If'; addiction increases exposure and exposure increases the cancer \ risk, then nicotine addiction increases the cancer \ risk? j",
"Well, most smokers who eventually quit smoking are f not successful the first time they try to quit, | 9 correct?",I think the data would .suggest that there's usually ' j more than one quit attempt before people quit. j iz inst s not unususi. I ' ' I
"The data would suggest that a person has to try --an j addicted person has to try five to 10 times before f they're usually successful in quitting, correct? j I",I don't know what that number is. I don't know how j many -- I don't know what that data suggests; I . | haven't seen that before. !
"Is that a reason well, what is the data that you | were referring to that people have to quit how many | zi LIIUGS oeiore rney re successrur. ^ i","I've heard there is usually more than one quit f 3 attempt. I have not heard five to ten times. I have j ijj 4 not heard that number. For me, I know I made one | quit attempt in the 90's that I really was not very | I . | ; W I I I I I W : I U J ^ ^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 mmmmm FREEDOM COURT REPORTING convinced that I should do it but : and it was unsuccessful --' and I made my final quit attempt Pago 160 | in | , . . . $ 004 and I haven't smoked. I mean, I've smoked an | occasional cigarette here and there, but I haven smoked cigarettes habitually again. You haven't smoked, but you still use nicotine, correct? I still use tobacco products, correct. s .' So you really haven't quit using nicotine, correct? j No, but I have quit smoking. Right. And I think we agreed that the only addictive j substance in cigarette smoke was nicotine?"
"We agree that nicotine, is addictive?","Absolutely, I agree that nicotine is considered addictive. And I think it's considered addictive whether it's -- personally, whether it's in Nicorette gum or in Snus or in cigarettes."
"And addiction makes it harder for a person to quit o usiny Lnar proQuCL, correcr. A, I would say that's part of the definition, yes.",
"And that would result in a person using the product more than a person who was not addicted, correct?",
"All right. Explain to me where I'm --what I'm missing,","It would make it a much more difficult .proposition, which doesn't mean that you're going to smoke longer or smoke more. It means that you are definitely going to have to be committed to quitting, and that is different. There are people who are not addicted who may smoke cigarettes and just one day, if they not addictive, they just put them down as if nothing happened. My suggestion is somebody who is addicted is going to have a harder time to do that, they're going to have to spend more time and remind 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING themselves not to do it in order to quit. It's a more difficult proposition. But, it doesn't take away your will or your desire or whether or not you're going to be successful at doing it. No, addiction just makes it harder to quit, right? I think it makes it harder to quit, but that doesn't mean once you've decided that you're going to quit and you have that successful attempt, that you put your mind to it. The same kind of premise has to happen in order for you to quit, whether you're addicted or not addicted. And it also doesn't mean that you aren't going to relapse, correct? I mean, I think there's always a chance that people are going to relapse. But, if you aren't addicted, then you wouldn't relapse, correct? MR^ K R E I N E R ; objection to form."
Why was it so difficult for the tobacco industry to accept that smoking causes ill health effects?,"Because ~~ I'll say again. Classically, the way disease was classified as a cause and effect relationship for those diseases that are chronic in nature such as lung cancer and has multiple causes, one has to previously establish that one is a statistical association, which that was part of it, but then you have to have the plausibility, and plausibility through an understanding of the mechanism and an understanding of what those agents were in the smoke that would cause the damage and the disease, and an ability to test alternative changes. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING And you have to have that with an animal model. So you can't just -~ I mean, mouse skin painting was fine, but mouse skin painting was not lung. Okay? Painting tar on the backs of mice is not the same thing as the inhalation of smoke. And there's no one that has been able to establish an animal model where you can get an animal to get a lung tumor using cigarette smoke and that's a problem,"
Would you agree with me that a corporation who is selling a harmful product has a higher duty to the American public than a corporation that is not selling a deadly product?,
"Well, if the product that you're selling causes health effects, ill health effects of the person using the product, your intended users, right?","Okay,"
Is there not a higher duty for that company to tell their users what they're consuming?,
"'i consumers and it certainly was told to J them by the public health community. j Our views were certainly expressed. | But, we certainly from a duty jj perspective have spent literally f billions of dollars trying to reduce constituents in smoke and trying to j make products that the public health j community would, suggest would lower the | health risk associated with the | product, whether we agreed with that j definition or not. So that duty, in my mind, was met. And, from a state of f the art perspective, in terms of how we f put our products together, therefs no j other tobacco company that did as much j as Reynolds, in my opinion, so I!m not I ft* , J *, * ., quite sure what duty you mean to try to j esraonsn nere. \ ' i Sure. When was the first time Reynolds publically | said that smoking caused lung cancer? | si Using those words, around 2000. Without any j ambiguity, Right. So ambiguity, 2000. j -- and before that, there was always j right? There was a debate. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Pagel69 There was ambiguity because from a scientific perspective there was ambiguity. So, Reynolds said what they believed that their scientists believed you could support, there may be a risk factor/there is association between smoking and disease; that is true, but to say that there is a direct cause and effect, they were unclear. Did Reynolds throughout the 60's, 70's, 80's, and 90's, ever put out any public statements other than the cause and effect relationship hasn't been proven?","The very founding of the company. We didn't make any cigarettes until the early nineteen hundreds. The company founded in 1875 and made smokeless tobacco and pipe tobacco for decades before they ever made r,icfflT,ettf-,<? Q, Right. And when did the lung cancer epidemic start in the United States? I mean, it's hard to say, but probably lung cancer rates were noticed to be increasing in the 1940s, j just after World War II. When did the modern cigarette mass production start? 1913. So.there was a lag there of, what, 30 years before the lung cancer rates started increasing? Approximately. Did the lung cancer rates continue to r i s e rise with the volume of cigarettes that were sold? That was the start of why people started looking into the epidemiology of cigarettes and trying to understand whether or not that association was real. When was the first time R.J. Reynolds tried to produce a smokeless tobacco product? It started out as a smokeless tobacco company. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 10. i\. Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Oh, okay. I'm going to show you what is - I'm going to marK as tixmoit b. (Deposition Exhibit 6 - Proposal of a New, Consumer-Oriented Business Strategy for RJR Tobacco Company - was marked for identification.) Please take a second to look at that product or look at that document. Well, are you familiar with who Claude Teague was? I6S i Who was Claude Teague?"
Do you know what Mr. Teague means by clean chewing | tobacco here? |,"I think he's -- well,.I mean if it was a gum, I guess j 10 he's suggesting that it wouldn't produce saliva and a I lot of spit, perhaps. In other words, it's not as -- j I think he said sanitary in here somewhere. Spitting } I is considered unsanitary, so I presume that's what | he's meaning. I .. I"
"Would this be the proposal or would' this be similar j to at least the idea of the Snus product? j A, Well, I mean, snus was already out on the market at J this time? I mean, in Sweden, Snus had been on the j market for 200 years. f",
So Snus had been on the market in 1969? f i,"Yeah. Snus is the Swedish word for moist snuff, in f I essence, and had been used traditionally in the f Nordic countries for 200 years. |"
"So R.J. Reynolds has had the ability to create a Snus f product for 50 years? f .;,'.;.;.;. ;.;.U.;.I.I,I.;.I.!,;.;.I,|,;A;.|.I:!;I,I.I,I.I^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING o A, r\",
Turn to the last page with me. There's an acknowledgeable paragraph?,Uh-huh.
Would you please read the acknowledgement paragraph into the record?,"The writer is indebted to Murray Sankus, Frank Colby, Dr. E.D, Nielson, Dr, A.H. Lorraine, Dr.' J.D. Woods, Dr, C.J. Cavalito for ideas, suggestions, criticism, 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING XX data, and encouragement, in developing and pursuing the thoughts presented above. He is .also indebted to the facility of the 1968/1969 executive program at the University.of North Carolina for stimulating his interest in mis area a no. m particular to nis advisor there, Dr. R.R. Reader, who provided encouragement and special assistance in the areas of. behavioral science, strategic planning, and systems analysis. Do you know or recognize the names of the folks he's acknowledging in this paragraph? Certainly, I know of some. I mean, I don't personally recognize m e university proxessor tnat i presume that some of this was written for in connection with that pursuit of that degree or MBA or whatever he was trying to get at that time. But, there are certaincertainly, Murray Sankus. I know that name, and Colby and I've seen Blevins and Moraine. Who was Murray Sankus? He was the head of R&D. So he's acknowledging the head of R&D at R.J. Reynolds for suggestions, criticisms, data, and encouragement, correct. He is. tl-!'!-!!l'-l-!!4ilv!-llv 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING r\ . A A, Who was Dr. Frank Colby? He was the chief librarian at the time. Who was Mr. J.R. Marian? Marian, I don't -- I think I recognize the name. I don't know who Marian is. Okay. Who is Mr, R.A, Blevins? Blevins, I think is somebody who was in marketing. Who was Dr. T.P. Hauler? I don't know Hauler, Do you know who Dr. Nielson was? Nope. Do you know who Dr. Lorraine was?"
"Mr. Teague is trying to put together safer alternative products tobacco products in this article, is he not?","At the end, he's making the suggestion for those products back here and he's saying how If you're going to try to make a safer product, then how are you going to judge it and how can I eventually know | that this is going to be the winner and all that 0 q f i i f f L. D I U J . I"
"He's proposing the ideas that are being implemented today at R.J. Reynolds Tobacco Company; is that correct? )4!,;,),;.;,;.|,;|i.|,;,[,;i||;,^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i\.","That doesn't -- I know, but that's not what I said."
"Well, that --","I said it's not an RDM or it's not an RDR, It wasn't a research memo that would have been filed in the library, based on what I see here. I don't see a number, I don't see an RDR number, I don't see an RDM number, so it wasn't written as research, company research, to be put into the library. That's what I'm saying. If it was and Colby knew about it, he would have gotten yelled at because Colby came up with the rules on what goes into the library and how you mark it and how it would have a project number and how it would be filed in the library."
Do you think that Mr. Colby.or Dr. Colby was unaware of Mr. Teague's research into safer alternative products tobacco products?,"This incident research. There's no data here, there's no mock ups of prototypes. This isn't research. This is a proposal. This is thoughts coming out of somebody's head."
So do you --,"Show me one piece of data in this report where zJ mere s numoers, analyzed, venxieo, and pur rorwaro that this is right. This is not -- This is no iM(|l,|i|i|w,;fm>,l,lM^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING J\ j \ . *~X t So you're comfortable saying that Dr., Colby was aware of this proposal? I am not comfortable with that. Okay. I'm comfortable that Do you have any reason to believe that-"
And you don't believe that was the retention policy in the 60's and 70fs?,"It may very well have been. I think, certainly, from an R&D library perspective, we've looked into this before, it looks like the documents are well maintained."
"Did you also see documents communicating a document destruction in your review of the documents? MR, KREINER: Objection to form.",
"Have you seen any RJR document that discussed 3RD AVENUE NORTH - BIRMINGHAM. AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING document destructions? I have, yes. \ So is it possible that R.J. Reynolds destroyed thousands of documents? !","Well, I kind of am because I haven't seen any evidence of it. What I know is R.J, Reynolds conducted a lor. or JDIOlogical researcn m r.ne DU s, 70's, and 80's, and up to today, and what was proposed was that a gentleman's agreement was supposed to not allow that. Although, again, I haven't -- I don't recall seeing any document that talks about what a gentleman's agreement is, or this so called gentleman's agreement."
"So you know what the gentleman's agreement was, you just haven't seen a document of the gentleman's agreement?","No. I know what it is based on what plaintiff's attorneys have attempted to explain to me what the gentleman's agreement is. What I haven't seen is any i / evidence any naro evidence -*"" cnar. mar. is rne case. And, in fact, I've only seen the opposite, based on what I know Reynolds did. They had animal labs, they run invitro studies, they -- I've seen records of outside contract research all through the 60's, 70's, 80's and 90's of doing biological research conducted by Reynolds, So if such a thing existed, Reynolds didn't abide by it,"
"I'm going to switch gears a little bit on you. i.^W-W'l-IWiWS^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 i t Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A How is smoking cigarettes similar to -- or how is addictive nature of smoking cigarettes similar to cocaine and heroin?",
"But, you are familiar that cigarette smoking has an . addictive -- a person who is addicted to cigarette smoking will have withdrawal symptoms?",
"Well, I realize that there are certainly differences in the three products.","Well, you were asking me -- I'm sorry. Go ahead,"
"I understand that there are differences. I'm asking you what the similarities are. I mean, the surgeon general in 1988 came out and compared them and he didn't just randomly, compare those drugs, did he?",
Do you know whether he just randomly compared them or not?,"I have no idea. What I do know is that in that '88 surgeon general's report, they said nicotine ,II.IIIIII,I'I;I,I'I,III.I,I) AWIWWI-M'W'I^^ i 3 R D A V E N U E N O R T H - B I R M I N G H A M , A L 3 5 2 0 3 - 2 0 5 - 3 9 7 - 2 3 9 7 CD O o CO Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Pagc200 addiction is the same as heroin and cocaine and you just agreed with me that they are differences. And that was, I think, the big point of the tobacco industry at the time saying they are not the same, they are different. There is a difference between having it be hard to quit because you're smoking cigarettes and having a life threatening withdrawal from trying to quit heroin,"
Right?,"And equating the two is a false equivalency and has got a different --there is a different purpose in doing that than science, in my opinion."
"Right. I will agree that there are differences, but will you agree that there are similarities between the addiction to those drugs and. nicotine in",
- tt Page 204 j,
"Dr. Figlar, have you read the 2010 surgeon general's report?",I have. I've reviewed most of the recent surgeon general's reports.
Would you agree with me that the surgeon general's reports are a reliable source of information?,
"On R.J. Reynolds website, they s a y o r you direct individuals to the surgeon general's reports for information, correct?","We do,"
"Okay. I'm going to ask you if you agree or disagree with this statement from the 2010 surgeon general's report. Okay? It is, ""nicotine addiction is the fundamental reason that individuals persist in using tobacco products."" Do you agree or disagree with that statement?","I partially agree with that. I don't know that it is 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING the fundamental. It's certainly one of the reasons why people would continue to use cigarettes, tobacco products in general."
So you disagree with that statement?,
"Would you agree that ""persistent tobacco use contributes to many diseases""?","I would agree that the risk of diseases is increased with persistent use. I would agree,"
"Okay. So you okay, you agree with the second, but you don't agree or disagree -- you don't disagree and you don't agree with the statement that nicotine addiction is the fundamental reason individuals persist in using tobacco products?",
"Are you familiar with ~- well, I guess you're listed 4Uj,;AaiAUAj.|.u.|Ai;i;j,;.^,|,w^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING as a person with knowledge about the FDA process; is that correct? Sure. I believe I am. Okay. And when did R.J. Reynolds become under the FDA purview? Well, R.J. Reynolds and the rest of the tobacco industry was under the purview of the FDA in June of 2009, I believe is when president Obama signed the statute. Okay. I believe it was June. June or July. Did R.J. Reynolds lobby against coming under the FDA",
"- i\, Do you know whether or not the documents in the j Minnesota repository are authentic? ! I believe they would be. 1 don't see any reason why j they wouldn't be. j Does R.J. Reynolds today still contribute documents j to the Minnesota repository? f Yes, | What is the -- Do you know what the Legacy archive j is? | I believe it's --I'm not actually sure. I know what | i the Minnesota is, but I don't know what the Legacy j is. Is that from the American Legacy Foundation? Yeah, I guess I know it as the Legacy archive. j I may be familiar with it. I mean, there's a number j of tobacco archives out there. I know we contribute ij to the Minnesota one, if that's helpful. { Do you know if you contribute at all to the Legacy j archive? j I don't know, actually. Okay. I'm going to ask you -- I'm going to mark this as Exhibit 7. (Deposition Exhibit 7 - Document from State Historical Society of Wisconsin - was marked for identification.) Please take a look at it and I'll give you a second ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING",", Jri. ."
"And will you read condition number four into the | record? | 7 A. The remaining client files will be sealed for a period of 25 years, no access whatsoever shall be f granted to these files. Immediately following the J i restricted period, terminating January 1, 1989, these j records will be organized and made available for | research use and administered under the same j conditions as its other collection of manuscript j papers. f",
Do you know if these documents were made available as | directed in paragraph four? j,I have no idea. I don't recognize John Hill as a f Reynolds employee. |
"Do you recognize John -- Well, Hill+Knowlton anyway was hired by R.J. Reynolds Tobacco Company, correct? | i","And the other tobacco companies, he was. |"
"Hill+Knowlton was hired by all of the tobacco f companies, correct? |","My presumption, yes."
"Okay. That's all, I guess, I got out of that j 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING document. Okay. I'm about to finish up here. I have to ask a couple of questions about Eclipse cigarettes. Are Eclipse \** X U u X v / L L v O vJi-l U l i w XlLClJLJVwL* L* v/ KA C*. y iS/ tny sjrt Okay. Where are they marketed at? Nationwide, in limited distribution, but nationwide. Are Premier cigarettes on the market today? No, sir. When did Premier cigarettes ~~ when were they last sold? '88, '89. Why were Premier cigarettes pulled from the market? Because they were a commercial failure, nobody bought them, and they tasted terrible. How is the success of Eclipse cigarettes? Not very good, very tiny market share, not a O L* L-/ L* \ O u X LI JL L* JL \A CI JL vU L L \3 t Is the Eclipse cigarette a profitable brand for R.J. Reynolds Tobacco Company? Not currently. Does Eclipse cigarettes produce the tar that we discussed earlier today? '"" "" I\D 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 O O o Z. H A A, i\ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Q Q A Q A Q A Okay. How many chemicals are in an Eclipse cigarette?",
So you disagree with the premise that menthol J increases youth initiation of traditional cigarettes? |,"I mean, I just look at the data, Menthol cigarettes | I have been around.since, what, the late 20's, early { i 30's, so they're not new. Look at the sales of | cigarettes. I mean, just today, menthol is gaining f in popularity. They've been around forever, but | still most people smoke non menthol cigarettes. So I j [just oion L uninK rne oat a supports tnat assertion. ^ i"
"In the business transaction between R.J. Reynolds and j Lorillard Tobacco Company, the primary brand of f cigarettes that R.J. Reynolds was purchasing was ;j I - Newport brand cigarettes, correct? | J-f */ * * V^ \n/ JL Jm V W Lr * >",
"And the top selling type of Newport cigarette is a j menthol cigarette, correct? j","It is, yes. f"
Do you know what percentage Newport menthol j cigarettes have of the overall cigarette market? j,"I think Newport has a brand family of about 12 or I oi i ! OJ ' *sl ! CO i . :=; (vi .WS!vi-l""vW'l'l'l-l'""'I-l'""^^ 20153RDAVENUENORTH-BIRMINGHAM,AL35203-205-397-2397 S I / Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Pagc220 percent. Do you think the additive -- Well, does the additive of menthol to traditional cicrarettes make the cigarettes more dangerous? No. In fact, it's categorically shown that they don r, mar. ins xevei on risK on someoooy using a menthol cigarette versus somebody using a non menthol cigarette is tne same in race L U C J. LJZ\ ruieo on Lnat as well. TPSAC basically said the same thing, no difference in risk. Okay. So it's not safer and it's not more risky if you use menthol? Correct, same level of risk. Does menthol affect how addictive cigarettes are? I don't believe so. Have you seen studies that say that menthol increase the addictive properties of cigarettes? I mean, I've seen a couple of studies that suggest that the quit rates are harder for some menthol > 1LL\*/ Jvci u ^ **? U.L* L, XX "" 11 X V w OwvI^Xl \s L* 11 w X O L, LX \X X \5 O L. X1Q. L- suggest the opposite. So I don't.think that that is well known. And, certainly, when the TPSAC ruled on it, they believed it was a concern, but that it hadn't been fully established. I'm maybe mischaracterizing the -- well, I'm not 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING U mischaracterizing what the TPSAC said, but they had several categories in terms of strength of assertion. And that one was an assertion, but it was not the O L* J-. vy 1 1 U \C* O L* GL O O \CJ *L 1# *1_ Vy 1 J. * If it's determined that menthol increases the addictive property in cigarettes, do you believe R.J, Reynolds will remove menthol as an additive in cicfarettes?"
Is that position also communicated on Reynolds' public website or corporate website that is available to anyone with an internet connection?,"It is, yes."
"We may talk a little more about this later, but you had indicated that nicotine in and of itself is not considered a significant threat to health. What does Reynolds mean by that?","Well, what it means is that nicotine by itself j CLOG lb* II W W cl Ll O G JL\J.IiCr Cc l I lCwiL OX O u I x ^ X C A X O U U S U S Q. II CI certainly as it's found in tobacco products is not a hazard in any way. X \j v j * VV XX JL X. \J2 W v? JL v!3 vJ XX lw X X C* HE\%Z5 V XX kJ JL k J O w kJ JL k/ k*X JL Q. L. C3 W KJXXjf O JL L. v3 L- CX JL i \ JL XX \A X jy cL XJ kj LI L- L* 11 d L- / X \j? L ILL w Cl O JY Y O LI d X w W O L* 11 v5 X X I I X I l L I o ci X/ O LI L* Reynolds' position. You were asked some questions by Mr. Gale around the area I think of advertising perhaps to nonusers or new users. Let me ask you what is Reynolds' position as you understand it about whether non tobacco users should start using tobacco products? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 226 |i We would say that they should not and our efforts are to communicate to adult tobacco consumers. Is that position communicated on Reynolds' website? It is, yes. What is your understanding of Reynolds' position as | in to whether tobacco users who are concerned about j their health from tobacco use should continue using? j No, I mean, they would say you should quit, R.J. | Reynolds believes if you are concerned about your I health, you should quit using tobacco products. \ Is that message also contained on Reynolds' public j website? It is, yes. j 'i For these users who wish to continue using tobacco j products, what is Reynolds' philosophy or guiding principles or belief with respect to people who want j to continue using tobacco products, what they should' j do? . | Our belief is they should certainly be aware of other | risk of tobacco products or nicotine containing products and certainly consider switching to them if they are going to continue to use tobacco products \ and have concerns. So we think that they should be aware of what those relative risk differences are and | be able to make appropriate choices. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 205-397-2397 00 o o k I Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 227 I"
"-.We'll come back to electronic cigarettes in a minute, | but we touched on the issue of Reynolds' position | that non tobacco users shouldn't start. Let me be I clear because you were asked in connection with VUSE, f Reynolds' electronic cigarette. What is Reynolds' f position as to whether people under the legal age to f i 7 purchase tobacco products should use VUSE? k","They should not. We specifically state that they | should not, I"
"Earlier, you made reference to Reynolds' efforts to j restrict youth access. I A, Uh-huh. j",
"Just summarize for us what Reynolds has done with f . . . I respect to VUSE, its electronic cigarette, in order | to hopefully prevent underaged people from getting { access to VUSE and using it? j A, We specifically state on the packaging that it should | be used as an adult tobacco product, that it should | be sold to age verified adults, and, like I said, we | i support legislation to restrict youth access to f e-cigarettes as well as supporting legislation to f restrict and penalize youths that possess tobacco j products, including e-cigarettes. |",
"I'm gonna switch topics with you. Doctor, you were | asked some questions about whether since you joined | 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING the company or joined Reynolds, so I wasn't clear | whether it was 1998 or 2004, but since you've become | involved in the industry whether cigarettes are safer f today than they were when you joined the company; do f you recall being asked questions about that? j","Similar, yes. f"
"Let me ask you are cigarettes available today and j i available since you joined Brown & Williamson and | Reynolds in the late 90's and early 2000's, are they | the same as the cigarettes from the 1950's and | before? | A, Not the same as the 1950's and before, certainly not. j",
"So, it's safe to say that today's cigarettes are | I safer due to research and development and j technological innovations'that Reynolds and others j have investigated and implemented over the course of J five decades? j","No question, yes. . | I"
"You talked about the epidemiology studies and were f 2u asked a numoer or questions aoout sarer cigarettes. i| I want to start there as a launching point. Remind | us, with respect to cigarettes from the 1950s and | before, before the innovations adopted by Reynolds, f how does the risk of today's cigarettes, filtered f cigarettes compare to those cigarettes, based on the f 3RD AVENUE NORTH - BIRMINGHAM, At 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i\, A, Pagc229 j epidemiology? Based on the epidemiology, non filtered cigarettes f carry with them a higher risk than filtered j cigarettes. That we know, for sure. So the | cigarettes that are manufactured today would be -- j should be demonstrably lower in risk than those that | were made prior to the 1950's, j And the epidemiology that you're aware of that | supports that view finds filtered cigarettes to | present less risk than non filtered cigarettes, let j me follow up. Is that just because there is a filter j on that cigarette or were there other design j technologies that also may have contributed to those j epidemiological findings? \ There are other design, variables that would have | affect the yield of tar that are incorporated, but j certainly filters is one of those. | Can you just and we may talk about reconstituted \ tobacco a little bit because Mr, Gale asked you about this, but can you just remind us of some of the other innovations that Reynolds and other cigarette \ manufacturers developed and implemented commercially j m a t would nave reciuceci tne yxcj-Cts m rrj-tereo. otner cigarettes? \ Sure. Higher porosity papers, for instance, | 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING .1",
