question,answer,Declarative_Text
You're saying that,"what I'm saying is, there is no major increase with nicotine for that particular brand.",
"You're saying that an inc- a nicotine yield increase from 1998 to 2004 by 36 percent is not a ..L. YJ 3 JL, V* X1 Am -L. A \m# G 1 1 L -L i 1 \_* X. vU CX O \H7","Right. When I'm when I'm telling you that J., O ITlcLil Li IZ^OlLLJX^XIlCr v Q. XTXolJ-L-LlL.y I S \J TJ G JT C n ^ Oil Xl.na.Xl particular number, nicotine, as measured in smoke, then I would say that chops that down to about 16 percent and I can tell you from crop-to-crop year, you will have a fairly large change depending on the weather conditions that also needs to get added into that. So that's part of the issue.",
"But you're not disputing that the result of ^umiwwMmimam<^ I Ol United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 http://Xl.na.Xl their study was that there was a 36 percent increase in nicotine yield between 1998 and 2004?","I'm not necessarily disputing it, no. I mean, if you'd like me to I'd read the I could go ahead and read the article.",
Sure. (Tenders document to witness.),(Witness perusing document.) Is this the published article? Where was this published? I thought I was looking at the published article that they wrote.,
I thought you were prepared. You know what you,"Well, I'm not prepared because you didn't submit it.",
"Here. I thought you wanted to look at it. I mean, that's what I thought you said.","Oh, no, I'm sorry. I thought I thought I was looking at the I thought I was looking at a reprint of the published article. This doesn't look like it was published. Do you understand what I'm saying? In what journal, what peer-reviewed journal did like a -- it doesn't look like that.",
This is from -- you can pull this off the Massachussets website. You can pull this off,"Okay. So this just came off the website. I Ol ""mmmmmmmmmmmm i-CTWMiJiWWHWWi-i-W^-H-WWiUMH WKWKWtW United Reporting, Inc. CO Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 thought we were talking about a peer-reviewed article, z LJ13L S wnati. i tmougnu we were taiKing aDOUL.",
"Okay. But we're talking about the Massachussets study. You're familiar with that, from 1998 that analyzed nicotine --","Well, maybe I'm only familiar with a -- with a with a news headline, then. I thought it was a peer-reviewed article, I may be wrong. Maybe it was just something they put on their website.",
You're talking about the Harvard study by Greg Connolly?,Right. That's what I thought -- that's what I thought we were talking about.,
"Well, that's a different study. We're going to talk about that one in a second, but this is the Massachussets study --","Well, I haven't read this.",
from 1998 to 2004.,"Well, I presume this is the same data.",
You said you would -- you said you would look,I thought we were talking about the Connolly study which is really the same.,
I'm happy to show you 1 en,"I would say it's the same data, but that's \ -L -1 * A B W H W W M B B W W W ^ ^ United Reporting, Inc. ro o o Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 fine.",
Okay.,I have not seen -- I have not seen this.,
Look at Page --,"So this is not a peer-reviewed study, then, by any stretch of the imagination.",
This is a study conducted by the Massachussets Department of Health?,"That was not my question. This is not a peer-reviewed study that it will be reviewed by other scientists for validity purposes, right, in concordance with scientific principle? I don't see where the peer review is. But that's -- that's fine. I'm not familiar with this one. I'm not familiar with website publications.",
Okay.,"So what page were you asking me to look at? I see the list of brands. I'm waiting to I'm waiting to see the collected data. I don't see any collected \j us La in Liiis yen. l see cne 11 s L or oranos, DUL I uon L see any data where they say here's the nicotine yield or the tar yield by year. I see a comparison of what a full flavored cigarette versus a Massachussets method versus an FTC method would look like.",
"Right. That's what I was asking you about Mwwwpwwwwjiwwwa ^ CO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 before - -","Well, that's not O yg? /""YX. fc? y \J Li d W c*. X "" w J- """""" L* i 1 Ct w L. 11 w l* lex O O Ct k^XlLliD i >w L* o Department of Health analyzed, themselves, the nicotine %uf y JL, %J+ J L Vw*. V*/ J C* . v > J L V* CX X . v* L* I* v l * *",
Okay. Hang on one second.,"I mean, is there something missing? You've got a list of brands, right?",
"Let me ask you something, Dr. Figlar. Are you aware of a study conducted by the Massachussets Department of Health in which they analyzed the nicotine yield of cigarettes including several brands by R.J. Reynolds? 1 oi -si","What I recall is an article that came out from | ro ro United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Greg Connolly, which was working for the Massachussets Department of Health, and they analyzed the data that we submitted to the Massachussets Department of Health that M W CL O w \J JL JL \Zr v*r L# w KX **J V \ C * V H \w/ JL \Ji w* X. w -L w Li JL ,L/JL CX1J KJL O * i l I >wX JL JV 11 v/ W they purported an increase of nicotine over a period of time which we then went and talked to them and basically explained that there was no intentional increase, because it was so small and not statistically significant, in my opinion. Now, this article that I've got in front of me here that you've handed me to me is neither a it is neither a peer-reviewed scientific article and it doesn't contain any data. And I think you would agree with that because it doesn't.",
Okay. I'm asking you if you're familiar with the study that they did.,I'm under ~ I'm familiar with that study that I just talked about.,
Okay. So you're not familiar with the Massachussets Department of Health study regarding the change of nicotine yields from 1998 to 2004? P,"If that's the study, then then then p w that I've just looked at that you just handed me, then I S TV) United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 would say I don't know what they studied because there's no data in there.",
"Okay. Are you aware, yes or no, if the Massachussets Department of Health ran a study where brands?","Well, I'm no, I'm aware of the Connolly one. If that was it, then I would say that they didn't run any data because they didn't have any data. Or there's no data on that, at least.",
"So then you don't know if they if they found an increase in nicotine yields in the Doral Menthol Light brand, for example?",I don't know if they did or did not.,
Okay.,"And I haven't seen any data to make that evaluation. I can certainly testify that nicotine yields vary on an annual basis, on a year-to-year basis based on crop years.",
Right.,"And there's a -- and, of course, manufacturing variability, so it's not surprising that it moves around.",
"Right. And then you you know that the hold on a second, I need to find it. '''WBM^WMWWMMM^^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 You know from the Connolly study that their results showed an increase year by year of a certain percentage of nicotine, correct? Tt A * JL JV X X \s W L# 11<GL L* L* 1 1 \3 V*> Vw' JL i i Vu JL JL y O Lr LI \JL y k-/ LA X, kJ >/ X. w C^ wl Lw v* say that there was an increase on a year-to-year basis, but if you -- if you actually recite what the number is, you'll find that it's certainly below both manufacturing variability as well as year-to-year crop variability.",,
"Right. But whether you think the the year-to-year increase is significant or not, they found an increase in nicotine yields from year to year between 1997 and 2005, correct?","Well, what again, what is that number? What are they",
"I'm not asking you what the number is, Dr. Figlar. I'm asking you if that study determined that there was an increase in nicotine yield for each of the years from 1997 to 2005.",I don't know if they did or did not find one /ii lor cdcn YGQI # x 11 Dc nappy to IOOK. 3L LUS article ano read that.,
Did they find an increase?,"I know that they purported to find an -UH'UWIMSWTOTJHfflWWRTO -si vsmfmww^BffivmswwmMfmmmfjKffiwwffifWfBjjfBsmst United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 increase, yes. And, again, I will reiterate that you can of course, you can find an increase if one looks for it, but if you don't actually recognize the sources of variability then the increase is meaningless. I mean, that's scientific knowledge. I can't help it that they didn't account for manufacturing variability in their study, but they should have.",
So they didn't do a good job in their study?,"Correct. That would be my that would be my argument, yes.",
"Right. And if they had found a decrease in nicotine yield, would you have been of the same opinion?","Based on the -- based on the degree of which the increase was found with the same kind of number, it wouldn't surprise me. I mean, if you would like to read what the percentage was I'm pretty sure it was like .002 / or ,uz milligram increase per year, wnicn is a Lotaiiy nonsignificant amount. It's not even really measurable on a tobacco percentage basis. I can't help it that sometimes scientists stretch in terms of what they think they see.",
"Okay. So you think that the scientists -* <*J JL. 11 V \J JL V vH? vJ. l~ IX L* 1 1 JL, O O L* L* ^Jl V W w X, Km* O Lw X, \ L- K^ J. Jl JL X1 vJ L 1 1 \ L JL Ul L* 1 1 *","I'm not saying stretching the truth, I'm I w f saying stretching what their conclusions were. If you -*. I w O United Reporting, Inc. ^ Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 JL. I U KJ L* JL. V CX V X lw J- 4. v^- KJ v ^ JL V** v* 1 1 U CX VJ v i *",
Okay. This is what they said.,Okay.,
"The MDPH -- that's the Massachussets Department of Health, right?",Uh-huh.,
"Issued a report in August of 2006 regarding nicotine yields in smoke in U.S. cigarettes based on data it received from the tobacco manufacturers in JL \J K,,*- V J I L L KJ JL JL CL i. X Vw* s3* W JL L- i i - 1 i-CL KD K& CX X^ X1 L* O O w L O JL CX W",Correct.,
"That report observed an increase of 9.9 percent in the average nicotine yield in the smoke of 116 cigarette brands -- styles for which data were available for both 1998 and 2004. That's what they ifo said, rignt.",Okay. Nine percent.,
"Nine percent increase from 1998 to 2004, correct?",Right. And what I'm telling you is manufacturing variability all by itself is 20 percent on nicotine.,
"Right. Well, that was the average increase that they found.","Well, I mean, I'm telling you what the average I 4* United Reporting, Inc. O Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 manufacturing variability is, it's 20 percent. So if you're not larger than the manufacturing increase, then I it's likely and probable based on statistics that there's no increase there at all. That's all I'm trying | to say.",
"You disagree with their with their methodology, but you don't disagree that they found an 8 almost 10 percent increase in nicotine yield from to 2004?","Numerically, no. I mean and it was based on the data that we gave them.",
"Numerically, you don't --","So, I mean, I don't have an issue with it. I'm just telling you what the what the what the situation is from a manufacturing standpoint and from crop, that you are going to see variance.",
"Well, they did not find, based on their analysis, a 10 percent decrease in nicotine yield, did they?",I bet you they did in some brands.,
You think they found a 10 percent decrease in some brands?,"I bet you if you looked at all the brands you ^MMMMMmmWMlWUlWHWUmU^ I on o GO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 would see increases and decreases. And from -- on the m0S r ^ And from a crop year perspective, as the crop gets utilized by all the brands in the marketplace if there was an increase in nicotine from the crop then most brands are going to go up.",
"For some for some of those brands they probably they found an even higher increase than 10 percent, correct?",It's a it's a possibility.,
"Well, you know if the average is 9.9 percent, you know that they would have had to have found higher percentages in some of the other brands",,
"in order to get an average of 10 percent? JL w *TJ JL L, l*w X X \Z* *** v< W v** Jt*- v* \J J JL w* L J L* X X CA- L** YV \** X* \i> *JL \*J W \m* X* # y \U C I X X * Uh-huh.",,
"Well, there would have to be some that were higher than 10 percent in order to get an average of 10 percent, right?",Correct.,
"Now, you agree that the key to communi-","t j Vi o n o+""T""* iVo +""V\a+"" TC W l l C J. J. O 1 1 1 JVC L .UQI . I M M W M S W M I ^ ^ i en ai i ro o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 about health risks related to cigarette smoking, you agree that the key is to communicate clearly with the consum- with the consumers, correct?",
"When Reynolds publicly communicates their position on health risks related to smoking, you agree that the key to doing that is to be communicate clearly with the public, correct?","I would say in general, yes.",
"Okay. When would it be when would it be okay to be unclear with the public? MR, LATHAM: Objection to the form.",I don't think it would be.,
"Well, you said in general, so that implies there are some situations where you don't have to be clear.","I think there is some cases where you are not intentionally where you might unintentionally be unclear. Does that make sense? I mean, if you look back in time and you say, okay, well, maybe you said something that wasn't clear, WM^ wwmwimwwwiiw^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 that necessarily isn't necessarily the intent.",
"R.J. Reynolds has clearly stated its position ,5 puJonciy over tne years as to wnetner or not tnere is cuiy p x u u i Li iaL oiiLuivijjy u i y a i C L L C O L-CIUDUD ctiiy U I D C C I D C ; correct?","I think from time to time, yes. They "" i \ w y 1 1 >w/ JL \JL O W K*s L4 JL \A 1JL CX V \*r 11LCX \*A vU KM* JL L \S O \Z* O L* CX L C* JL LlvZ* JL. 1 L* O",
And they've done that clearly,Made some statements.,
"And they've done that clearly to the public, correct?","I think in general, yes.",
"And they've done that since going back to the 1950s, right?","When Reynolds has made statements I think they have been fairly clear, yes, in terms of what their position has been.",
"Right. Now, you're familiar with -- Reynolds i? uaS LaKsn LUG opporxunit.y over nne course or many decades to make public statements regarding whether or not cigarettes are dangerous to the health of a user, correct?","Many? I would not say many, no.",
"No, you would not say many?","Reynolds as an entity, no. I iwsMSMwwymwTOiiw ^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
"Okay. You're aware that the Tobacco Institute well, you know what the Tobacco Institute is, right?","I do, yes.",
"They're actually no longer in existence, right?",Correct.,
"They were disbanded, correct?",They were.,
"And you're aware that the that Reynolds the Tobacco Institute spoke on behalf of Reynolds, correct?","They did speak on behalf of Reynolds and a number of other companies, yes.",
"Reynolds R.J. Reynolds was a founding member of the Tobacco Institute, correct?","All of the tobacco companies were founding members of them, yes.",
"So ~ and you would agree that the Tobacco Institute on many occasions publicly spoke about the tobacco industry's position with respect to whether or not there was sufficient proof that cigarettes were the z j cause or any disease, correct..",They did.,
"So when they were doing that, they were doing GO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 that on behalf of R.J. Reynolds as well as the other manufacturers like Philip Morris* correct?","They were, yes.",
"So when you say that Reynolds didn't speak publicly very often about it, you weren't intending to \J fc3> Lot *-J >-l vZ 0> L> L- X X CX L L* X X t J -L V*x XhJ CX \^ v \*/ JL 11 O L* JL L* LJl L* vZ* W CX O X i w O k> *3 CX Jrw JL X X v j X~ \J JL them, were you?","I was n o t , no . y WK rT-CirrlAI\1J 1 IN LjeX. S g o S n . 6 a Q 3 n Q lUarK d l C l we mark the notice already as Plaintiffs' Exhibit 1?",
"Go ahead and take a look at that, please.",(Witness perusing document.),
"You've seen that before, right? Zi A JL nave, yes.",,
"Who is Dr. Murray Senkus? CO ai ^ ro CO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221","He was the head of research at R.J. Reynolds in this time frame, 1968.",
Okay. And who is he writing a letter to?,"Dr. Kenneth M. Endicott, Director, National o cancer xnsiiiLULe, jjennesQa/ ixiaryianci.",
And he's writing to Dr. Endicott with regards to the formation of the Tobacco Working Group?,"He is, yes.",
And Dr. Murray Senkus was designated by R.J. Reynolds as their representative from the from R.J. Reynolds to work in the Tobacco Working Group?,"I don't know that Reynolds designated him. It says in your letter of March 6 you extended me an invitation to serve, so I don't know if he was looks like the NCI was extending Murray Senkus an invitation to participate.",
Okay. And did he participate?,"He did, yes. For many years actually.",
"Okay. He participated on behalf of R.J. Reynolds, correct?","He did, yes.",
"Okay. And he wrote this letter in his capacity as the head of research for R.J. Reynolds Tobacco Company, right? f S","I don't know if he did or didn't. He just | -* oi United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 he wrote he only signed it Murray Senkus, but...",
Is it on R.J. Reynolds Tobacco Company letterhead?,"You know, I don't know. It doesn't -- it doesn't look like it is, but...",
Look at the second page.,Am I missing something?,
You don't see that on the second page?,"Where? Yeah, not my copy doesn't have it on there like that. Let me see.",
"It must be faded off. Yeah. So O ""A *T 4- 1 "" 4- w 4* v-s vs 4* l*k vs. -**1* vs. T"" wvi vs. -*s vm *T i wv* vs ,"""", i saying it's not a Reynolds document, and he may very well have written it on Reynolds letterhead, I just",,
"You have no reason to dispute that this is authentic, correct?","I don't, no.",
"You've seen this letter before, right? i? r\. i nave, yss",,
Okay. And do you have any you have no reason to believe that this is not an authentic letter in R.J. Reynolds internal business records?,"No, I believe it is.",
"Okay. And you believe that this was the letter that Dr. Senkus sent to Dr. Endicott? en I - A United Reporting, Inc. ^ J T V * J 4mJ**JUA Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 i Page 215 |","I believe it I believe that to be true, yes.",
"Okay. And as the -- and this was dated March 27, 1968?",Yes.,
"And did Dr. Senkus say the followinq: I am agreeable to serving on the informal work group referred to by you and making available my experience and knowledge and research relating to tobacco and smoking, if it is clearly understood that I am in no manner ii accepting tn.s view, une, x,nax. present. cigareuL.es are hazardous or, Two, that the smoke of such cigarettes o r ^ i i Q P Q OT* r n n t r i V*>i it"" p^t t *o t h p H P>\/P 1 OTMTIP nt* o f 1""i nm ^ n l n n n cancer. Is that what he said?",,
"And that was the position of Murray Senkus, the head of Research & Development at R.J. Reynolds?","He was at the time, that is correct.",
"And that's consistent with the position of R.J. Reynolds Tobacco Company at the time, correct?","It would be, yes.",
"And Dr. Senkus on behalf of R.J. Reynolds Tobacco Company was stating very clearly that there was that the only way that he would work on this particular group if they understood and accepted his ISMMMMWMSBWWWWBWWMWW^ i i en United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 http://cigareuL.es view was that present cigarettes are in no manner hazardous, correct?",,
"All right. Let me -- I'll rephrase it. He -- Dr. Senkus is stating very clearly that a condition of his agreement to participate in the group is that if it is understood that in -- he is in no manner accepting the view that cigarettes are hazardous, correct? IU A i TininK, ne s maKing IL ciear unau unis is wnau my position is, this is the position of my company, if you still want me after that you need to accept the fact that that is his view.",,
"Right. It was the position of R.J. Reynolds Tobacco Company that there was no proof that cigarettes were hazardous, correct?","That -- their position was it had not been scientifically established, that's correct.",
"Right. Or that cigarettes caused or contributed to the development of human lung cancer, correct? z,3 A i ininK in general nnai. s unac. s correct, yes. That would have been their position in '68.",,
"It is important that this reservation be noted m CO -si United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 particularly in light of the unfortunate designated purpose of the group, namely to develop a less hazardous | %MT JL vJ C4 JL KZ* \*- Iw V - p L IX CA Iwf O VT 1 1 U , L# IX W O CI JL >-4, m X X ^ j 1 1 L i","He wrote that, yes.",
"Perhaps a better working arrangement, an undertaking by all involved would be achieved if the purpose were rephrased in a manner that would not assume the existence of a hazard that has not been scientifically established. That's what he said, right?","That that is what he said, yes.",
"He is saying in no uncertain terms that there is no proof that cigarette smoking poses a hazard to the cigarette smoker, correct?","He's suggesting that there's certainly that that has not been established, but, you know, of course, the Tobacco Working Group went on to try to make a safer cigarette and that's what they called the project and he participated in it.",
"And he also goes on to say, because of the 4Li \J JL C4 \m* JV \J JL kJ Vi# JL \Z* X * L#* *JL JL JL \*t* vil &\ k-/ \* JL J L \ \ I vU 11 L C I JL \y A- V** JL L X L L \** CL JL \U V JL KJL\ JL L \*? \Z* that smoking cigarettes causes or contributes to the development of lung cancer, it seems to me that before meaningful work can be commenced on a, quote, less hazardous cigarette, end quote, it must first be established that there is some causal connection. I j w CO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 T h a t ' s what he w r o t e , r i g h t ?","He d i d , y e s .",
"And that's what he was saying on behalf of R . J . Reynolds? vJ j tx JL t* XI -L i I J*. JL Lf """""""""""" JL L* III JL JL X7 \j JL J^ L. 1 1 v* Cw \J III kJ d 1 1 y p' w w JL L*- JL v / 1 1 # y e s .",,
"Now, where in this letter does he say that R.J. Reynolds agrees that cigarette smoking poses a risk to the smoker?",I don't know that it does.,
Where in this letter to Dr. Endicott does Murray Senkus say that R.J. Reynolds recognizes that cigarette smoking increases the risk that a smoker may get from developing a disease?,That would not have been their position at this point.,
Right. In fact,So it's not -- it wouldn't it wouldn't be I.? in nere.,
"Right. It was not their position that 1 f**> 1 l T CI V s ^ ^~ ""\~ l O m /""\ V"" 1 Tk rT Y*\ t~S Q d f""1 3 T""* ""1 O V"" ""H /S Ct TY\ /""""* It 4Z1 T""* C! 3 4~ x . T - ^ . , __. _ _ x . *-) X U X U C I H L U L L C fcDLlLLJJVXllH M v-J O *3 vJl Cl JL JL > J\ L-vJ k D X L L v J J V w J ^ i D CLL> L- I I JL *2> vJ v*J JL i l L*","Correct. That was not their position. Their &o posiLion aL Liiio point in Lime is tricit it nau. not a cause and effect relationship had not been established but that there was a statistical association between W H M M W M M M I W ^ ^ I CJ1 GO | N cn (O United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 smoking and disease. They would recognize that the statistics were there and real, but they didn't know why.",
"Where does he say that here, that they're that we recognize the statistics?","He didn't here. But, I mean, Bowman Gray did four years earlier in congressional testimony, so that was known then.",
You don't know that that was nonresponsive?,"No, I didn't. I'm sorry, I thought I was adding contextual pieces to my answer.",
"Okay. And where does he recognize that there is any risk at all? In fact, he says the opposite,",Where does he say there's no risk?,
Where does he say there's risk?,"All right. But don't say that he said the opposite because I don't see that in here. He says at the very end, I assure there's an intense interest in helping with what you have aptly described as a complex problem.",
"He is in no no manner accepting the view CO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 that present cigarettes are hazardous. That's what he says?","He does say that, yes.",
"So Dr. Senkus could have written a letter l Q r V* ""1 If H T r""l 3 T"" Dr. Senkus could have taken the position that R.J. Reynolds agreed that cigarette smoking was hazardous to the health of the smoker, correct?","If he agreed with it, he could have, but he did not. They did not.",
"And it was reasonable for Dr. Senkus to have that position, you believe, right?","Yes. At that time it was, yes. X ZJ \J 3L\ _L CJ11L* * i \ i 1 \X J- L- Vv CJ U J*. CI ** Gr X w d > (J XI cl Ly _L \$ X. Q? JL cl ~~ """"""'"""" the general public to hold that position as well, i / correcti.",
"I thought I had a highlighted section version of this, but I don't","To some degree, yeah.",
And Caravan was a publication that the R.J. Reynolds Tobacco Company published and distributed amongst its employees?,"To its -- to its employees, yes. outside the building, though, right?",
Do you have any reason -- do you have any reason to believe that they were restricted from removing this publication from the building?,I do not. Do you want the,
"Oh, yeah.",I got the highlighted one. Is that the one you want,
"Yeah, it'll be easier",marked? j g I -si,
"No. I'm sure they don't want it marked up. { i to United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 http://aur.nenL.ic copy Q the date A Q","It does, yes.",
That was a national ad campaign developed and disseminated by R.J. Reynolds?,"I believe that is correct, yes.",
"Okay. And if you look at Page 3, first column, Mr. Long states at the bottom of that column: The fact is that questions that had been raised about the use of tobacco products remain unanswered. For example, 30 years of research about smoking and health iz nave proQucect no SCIGHLine prooi Lnsc norjacco causes o Disease ano. nas proQuceo. no scientiiiiic prooi ""cnat tobacco smoke is harmful to nonsmokers. That's what he said, correct?","He did, yes.",
"Unfortunately many tobacco critics -- tobacco's critics have not been willing to let such research proceed in an orderly, unemotional environment?","I'm sorry, where are we?",
"Middle of the page, middle column. z/A A uKay.",,
"Unfortunately many of tobacco's critics have not been willing to let such research proceed in an orderly, unemotional environment. Instead they preach en CO I Ol PO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 anti-tobacco gospel that portrays our company and the industry as caring only about profit and callous about the welfare of the public. At the same time they have undertaken campaigns to make those products those who | use tobacco products second-class citizens and social outcasts. That's what he said, correct?",He did.,
"If you can continue down. Through our new advertising program, we will present a factual, unemotional statement of our positions on many tobacco issues and respond to the charges that have been leveled against our company and industry. So not only is he going to defend the company, he's going to defend the entire industry, right?","He ~- yeah, I guess so. That's what he said, industry in here.",
"We we also believe that by allowing the public to hear our views, we will be allowing them to make truly informed decisions for themselves about the tobacco controversy?",Where are you? I'm sorry.,
Th-[rc} c o i u m n # zj A UKay. see. ean.,,
"We are aware that some of our views may be controversial, but a company that makes any valid claim WWWHBWWMWW^^ $ CO J -si ro United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 to leadership of any industry, we must be willing to step forward when the need is clear. So he saw that it was necessary for R.J, Reynolds to be the leader that they were in the industry to step forward and tell the public what they really believed about cigarettes and smoking and health, correct?",That's what he believed.,
"Right. If you go to the next page. That's a print of the one of the versions of the ad campaign, Open Debate, correct?","It looks to be, yes. I don't know if this is one of the ones that ran or not, but it looks to be one, yes.",
"If you go to the about the quarter of a way down, studies which conclude that smoking causes disease have regularly ignored significant scientific evidence to the contrary. These scientific findings come from research completely independent of the tobacco industry. That's what R.J. Reynolds said, right?","Yes, that's what's written here, yes.",
"We at R.J. Reynolds think you will find such evidence very interesting because we think reasonable people who analyze it may come to see this as not a closed case but as an open controversy. CO I 4* Oi I ro United Reporting, lac. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 And R.J. Reynolds -- it would be reasonable for R.J. Reynolds to believe that people who read this or were exposed to this message could believe itr *J V** \J 4w Jw >W \* L- #",Sure.,
And rely on it?,Sure. Yes.,
"If you go to the next page. This particular part of the document describes the extent of the media coverage that this Open Debate campaign has received, correct?",On the one that said: Ad campaign draws mixed reaction.,
"Media coverage is widespread, right?","Oh, right, yes: Ad campaign draws mixed reaction, yes.",
"And have you had a chance to review this before today, right?","I have, yes.",
"Talks about Edward Horrigan appearing on different national news programs, promoting this ad campaign and the positions of R.J. Reynolds?",,
He appeared on the NBC Today Show?,"Yes. ijMwmwjBwwwMBBM^ United Reporting, Inc. i | *M I - i to Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
He appea red on ABC's N i g h t l i n e ?,He d i d .,
"And these programs were extensively covered in the media, these appearances, correct, according to this?","Yes. I think from -- certainly, for some period of time it was it was covered, yes.",
"Right. These didn't just, you know, occur in minor irrelevant areas that wouldn't get a significant amount of media or public coverage, correct?",,
Strike that.,No. I go ahead.,
"The ad campaign that we're talking about here didn't just show up in irrelevant minor areas, correct?",It was a national ad campaign is my understanding.,
Right. Covered by national newspapers?,Correct.,
"New York Times, Chicago Tribune, Baltimore Sun, Charlotte Observer, Business Week, Fortune, US News & World Report, Wall Street Journal, National Public Radio, and Cable News Network, those are just some of w 25 covering this ad campaign, right? ( United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221","Hold on. It generated -- the ad campaign generated calls from those newspapers that you listed before with US News, World Report, and I guess there was also information sought by those others as well.",
Right. And they --,"But whether or not there were stories that appeared in there, I'm not exactly sure. But, I mean, clearly this was a national ad campaign.",
"And left off the I also left off, Information was sought by ABC, CBS, and NBC television networks as well, right?",Right.,
"Now, I mean, Edward Horrigan could have gone on all these different news programs and told the American public we believe that there is a substantial risk in people who use our cigarette products for developing lung cancer and other fatal diseases. He | could have said that, right?","Not if he didn't believe it, and he didn't at the time, so that's not what he said.",
"Right. Okay. Do you know if R.J. Reynolds issued any press releases related to this ad campaign, too?",What do you mean? I 0),
"Do you know if R.J, Reynolds issued any press li I I an United Reporting, Inc. <0 MMJWBMIMIIIWWIM^^ Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 releases in connection with this ad campaign?","I don't know. Maybe, perhaps.",
"You wouldn't doubt it, right?",I don't know one way or another if they did or didn't.,
Has R.J. Reynolds over the years ever issued press releases?,"I imagine they have, yeah.",
Have you seen that before?,"Yeah. This is one of those documents I think I reviewed in preparation for this deposition, if I'm not mistaken.",
This is is this a press release generated by R.J. Reynolds?,It looks to be to the morning and evening newspapers.,
January 30 of 1984?,"I would believe so, yes.",
"Okay. And then this is talking about the open United Reporting, Inc. I co Ol CO Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 debate campaign that we were just reviewing together, right?","It would be, yes.",
Do you see what Plaintiff's Exhibit 5 is?,,
is this a reprint of the open debate campaign that we were had been talking about?,"It looks to be, yes.",
Do you see at the top a reference to New York Times?,"I do, yes.",
Do you have any -- any reason to doubt whether or not this was actually run in the New York Times?,I don't.,
Okay. And it's the same,"Well, I'm sorry, I take that back. I think this one did, but I know there's a whole set of these with regard to the open debate campaign.",
I'm only asking you about this one. | J,"I understand that. But you're asking me do I diikwjujjw^^^ to United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 have any reason to question it, and the reason I'm saying this is because I know some were ran and some were not.",
"The only one I've asked you about is this one, right?","So far, yes. O \J x 1 1 \A. Lri G W X \*J JL, IV JL JLILLvZ- hi} JL O CX 11 CX L#- JL \*J X1 CX JL k-* L-I JLy JL JL L**- CX L* -L V** 11 r right? i u A I L I S , yes.",
"It reaches a lot of people, right?","Potentially, yes.",
"And if people are exposed to this message they have every right to believe that the R.J. Reynolds Tobacco Company believes that it has not been proven that cigarette smoking is the cause of any disease, right?","In -- hold on, I'm just trying to see where it says that. Can can you show me where they say that? I mean, I see -- I'm just having a hard time seeing where they say that it's there's no proof that's it been",
"I d i d n ' t I d i d n ' t ( oi m* -mf Jt\ JL 1 I Lr -I 1 ~L O *""* ""* JLJ.1 IM.1LJL.IHI) W 1 1 t # WMMMWMmtm^UJWWlW^^ I Ol .1 ro United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 http://Im.1LJL.IhI",,
