question,answer,Declarative_Text
"Miss Bonhomme, good morning.","Good morning, Mr. Bigger."
"And the point I'm driving to is that Philip Morris was alarmed or bothered by the fact that the CBS Reports program on teenage smoking was going to i; air and talk about smoking as a health hazard to teenagers when what they wanted was for there to be the other side in there, that it may not be a health hazard to teenagers, it may not be hazardous, there may not be hazards from smoking. That's really what was going on here, isn't it?","She was born in 1945, so she would be '55, '62, she's be about 17. i"
Right.,Yes.
"This is the Marketing Research Department Philip Morris, Incorporated, August 1970?",Yes.
"And this national tracking studies like this were things that Philip Morris, Incorporated would do during this time period in the 1970s and before this as well in the 1960s?","This national tracking study started about 1970 and is still in place at the company. It's a methodology that tracks smoker share for year after year. And so this is a unique piece of infrastructure. Separate from this, the company may have done other individual tracking studies for different purposes."
"Okay. And thank you. I appreciate the clarification. So I just want to call your attention to a couple of things in here. And, you know, it would 0 probably be easiest if there's like a if you see at the bottom right-hand there, there's like four digits after the 6131.","Yes. 4 Q. So I'm looking at four, page four, 0004."
"All right. Just looking at the type smoked by age, ""Some types are almost for ""everybody"" regardless of age..."" and then they have in parentheses ""...(menthols, 100s, charcoals). Others appeal especially to the young..."" which and then they have in parentheses ""...(filters, especially flavor filters) or the old..."" and in parentheses ""...(nonfilters, coupon brands)."" Do you see that?",Yes.
"So just the general, again, proposition that, you know, different ages, different types of brands are popular amongst different ages of smokers.",That's the general impression.
Right.,"And but keep in mind, this study is only conducted among adults."
Correct.,"Individuals 18 and older, different brands have different demographic profiles, yes."
"Yeah, so certain brands strike that. Certain brands and certain types of 4 cigarettes are more popular with younger smokers versus older smokers versus middle-aged smokers?","Well, this report is specifically speaking i about young adult smokers versus middle-aged versus l older, so, yes. ji"
"And this report specifically is talking about 18 is the bottom end of the younger smoker, if you will?",That's correct.
Okay. (Plaintiff's Exhibit No. PT1546 for i.d.),
All right. Let me show you PT154 6.,
Are you able to read it okay?,"Yep, um-hum. ;"
"All right. All right. Some of these older documents, the quality, you know, it's not always ideal, but if you can't read something and you're having a hard time, just let me know.",Okay. \
"Okay. So this is a PT154 6 document dated June 9 June 12th, 1970?",Yes.
And it's a memo from Shirley Wilkins and Bud Roper to Steve Fountaine?,Yes. I
"And at the bottom down there it says, Roper Research Associates, Inc.?",Yes. |
Roper Research Associates was an outside market research company that Philip Morris used?,"They were a marketing research public | opinion firm, yeah. |"
"Okay. All right. And Philip Morris used them for different projects as a outside vendor, if you will?","Yes, they did. j"
All right. Steven Fountaine. What was Steve Fountaine's role with Philip Morris?,"He was in the research function. I don't | know what his exact position, you know, but he worked | 19 in the marketing research function and may have had other positions at different times. I don't know."
"Okay. Now it says, ""Subject: Suggestions for research to answer questions raised on Philip Morris benchmark study."" 4 A. Yes. f",
"Now the first sentence there says, ""In our recent presentation to management on 1970 benchmark study."" previousl involved benchmark What was the benchmark study? It's not this study that you showed me y Right. It's a different study? It would have been a different study. Right. And what were the ages that were in that study, the benchmark, the study? Was that also those 18 and up, or it a different lower end? company's age and o study. I didn't see the benchmark study. But the practice was to speak to individuals of le lder . Okay. But I did not go look for the specific was gal ; In preparation for your testimony today, you didn't seek out that 1971 benchmark study? attorneys ascertain I didn't. I didn't, no. Okay. And it wasn't provided to you by your or anything else? No, because they gave me what I asked for. Okay. All right. So in an effort to the company's position on these issues and particularly on these documents, you didn't ask for that 1970 benchmark study referenced in there?","I didn't. But from reading this memo and from knowing the company's practice, I would take it that would be 18 years in age or older, but I would have to go look for the study really to, you know, be more specific."
Okay.,"But when you read this memo, I think you'll conclude"
Get yeah.,conclude that the benchmark study was among 18 and older.
"It implies that, right?",Yes.
"Fair. Okay. So let's look at this memo from Ms. Wilkins and Mr. Roper. ""In our recent presentation to management on the 1970 benchmark study, Mr. Cullman questioned the 0 6.4 percent share from Marlboro that the study showed and our explanation that the discrepancy between this share and Marlboro's actual nine to ten-percent sales share was due to the fact that Marlboro has such a high 4 percentage of its smokers among the types of young people our survey misses of necessity (on college campus "" "" (on-campus college students, those in the military and those under 18 years of age."" Did I read that correctly?",Yes.
"So from that long sentence, we can ascertain a couple things. There was a recent presentation made ; to management by Ms. Wilkins and Mr. Roper.",Yes. :
And among the individuals who were involved in that meeting was Mr. Cullman?,Correct. \
"And this was do you know if this was Joe Cullman, III we saw from the telegram in 1962 or was this","Well, there's a Hugh Cullman also, so, you know, I don't know."
"Yeah. Okay. Hugh Cullman in 1970 was no longer, you know, in management in the company, or was he still in management?","When I joined in 19 79, he was in management. I didn't look into for today what Hugh Cullman's I positions were. :"
Okay. You didn't look into which Cullman this was?,No.
"All right. Both Cullmans, though, were in senior levels in the company? 3 A. Yes.",
All right. So they had a question from Mr. Cullman as to why there was a discrepancy between the reported share of Marlboro and Marlboro's actual share; is that fair?,"Well, I would say their reported share of I Marlboro and Marlboro's reported share from other data | sources. |"
Right. I mean the share,What j 13 Q. The share they had discovered in their benchmark study 15 A. Right.
and the share that Philip Morris had from I other sources?,Right. I
"Okay. Gotcha. 0 And he requested in that final sentence of that paragraph, he requested, being Mr. Cullman, 2 right 23 A. Yes. 4 Q. requested that research be recommended 5 which would confirm or negate the reason for this discrepancy. So a long story short, is there a discrepancy? And if so, let's confirm that or get rid of it. Is that fair?","Yeah, with the objective to get what is the real market share from Marlboro."
"Yeah, or why is there a discrepancy?","Why is there a discrepancy and more importantly, what is the actual Marlboro market share."
"Yeah. Okay. All right. So looking at you know, based on their sort of parenthetical statements there about the students or the types of young people that the survey misses",Yes.
"you know, they kind of go on this memo and they break down each of those categories. And one of the categories they have starting on page two is young people age 14 to 17.",That's correct.
"Okay. So under that section they say, ""To 0 get a reading on the smoker percentage and Marlboro share among teenagers not covered in the benchmark study, we recommend interviewing young people in summer recreation centers, beaches, public pools, lakes, et 4 cetera."" Do you see that?",Yes. I
"""This will not provide a projectable sample of people in this age group, but it has several advantages."" Do you see that sentence?",Yes. |
"All right. When he's referring to a projectable sample, what he means is that they won't maybe get enough responses to have a statistically significant projection for various uses. Is that a fair way to say that?",No. |
Okay. Tell me what a fair way to say that would be when he's talking about a projectable sample.,"A projectable sample is a sample that | properly represents the population it's trying to | 19 understand. So to have a projectable sample, you can't conveniently interview people in certain locations. | You would need to put in place a methodology that would I be very randomized, so you represent the entirety of | 23 that population, because certain types of 4 Q. Right"
Okay.,Okay.
"Would projectable there also relate to using the data for other purposes, like, in other words, the ability to extrapolate from that data and use for forecasting or leaf buying or that kind of thing?","I mean, it could. You would prefer projectable to nonprojectable. But you don't always have to have projectable data to make a decision from the information."
"To make a decision. Okay. So he's saying here's what we propose, but it's not going to provide a projectable sample?",That's right.
"All right. ""The low at-homeness of this group..."" I'm sorry. 0 ""...but it has several advantages even though it won't be projectable sample. The low at-homeness of this group combined with their incidence in households would make house-to-house interviewing quite expensive. In addition, true answers on smoking habits might be difficult to elicit in the presence of parents. We believe that the greater accuracy of answers plus the higher rate of productivity on interviewing outweighs the disadvantage of not having a projectable sample."" Right?","That's what says, right. ;"
"So even though it's not projectable, there's some distinct advantages to doing it this way?","That's what he says, yes. \"
To go and to interview these 14 to 17-year-olds at summer recreation centers?,Yes. \
"And it says, ""We suggest having..."" Sorry. He talked to the 50 locations and the interviews in each.","Yes, I see."
"And then he says, ""We suggest having the interviewers obtain interviews with those who appear to be between the ages of 14 and 21.""",Yes. ;
Right? Okay. And he explains why he extends the age limit?,Yes. \
"Well, with regard to the college age?",Yes.
"""The questioning would be along the lines as follows:"" And he kind of puts forth the questions there?",Yep.
Is that fair?,That's fair. \
"And then there's the, after the sort of questions they're going to ask, they say, ""We would have the interviewers ask the age of the respondent, but if she..."" being the interviewer, disagrees or thinks the reported age is too high, we would have her record her guess as to the correct age. This is in the event that the smokers raise their age in giving it,"" right?",Yes. \
"""And, in our opinion, this suggested approach will provide a good reading on the Marlboro share among very young smokers, as well as adding information on college student smoking habits."" Did I read that correctly?",Yes.
"All right. So at the request of Mr. Cullman after a presentation to management, the decision was made or the recommendation was made to go out and find or validate or invalidate this discrepancy in the Marlboro smoker share.",
Right. And,"I don't know that Mr. Cullman requested a proposal from them. Seems from this document and al from having been in meetings where there's been discrepancies in share numbers at different times in career, it's usually somebody saying, Hey, what happened here."
Right.,"And then the Roper organization went off. You know, they're an outside vendor. They came back with a proposal and with an opportunity to sell this project and be paid for it."
And they did?,
"In other words, let me clarify in light of the objection. so \ my They went about the survey process that was recommended by Roper, Philip Morris did?","No, they didn't. I looked further into this, and it seemed that I saw a document from Mr. Fountaine, I believe it was the author, and I saw a documentation that they didn't go forward with it because they didn't think it would be actionable."
Okay. And do you have those documents with you today?,I don't.
Okay. But you saw some document that says that this wasn't going forward?,Yes.
But you don't have it with you today?,No.
"Okay. Regardless, Mr. Cullman was the one who requested that this proposal be put together in order to figure out why the survey is saying that they have a smaller share of market than they really believe 0 they have for Marlboro?","I wasn't left with the impression. The impression I had was that he was questioning the discrepancy between Marlboro share because, in his mind, Marlboro had a significantly greater share than what the benchmark you you rea Q A Survey report study showed. And he was saying and, \ know, when you question that share, that makes --- and if you don't think the share is right, it j: lly causes you to think about the entire study. that's an important question."
"Let me hand you PT1071. And while I'm at it, I might as well hand you PT2827. We'll start with 1071.",Okay. I
All right. Do you have the single-page document PT1071?,I do. \
"Okay. So that is a memo to the well, from the Marketing Research Department from a gentleman named Al Udow?",Yes.
And it's an Philip Morris inter-office correspondence?,"That's correct. i bottom some company don't k Dated July 25th, 1974? Yes. \ Okay. And the distribution list down at the indicates who this was sent to? Yes, it does . j; And among the other individuals, there's well, we see J.J. Morgan, for example? Yes. James Morgan? Yes. He was well, what was his role in the in 1974? '74? I Um-hum. He was in the marketing organization. I now if at that point he was the vice-president I of market, but he prior to that had a position where he ji oversaw Marlboro in the brand group. He became the ; vice-president of marketing, but I don't know exactly I what ye ar it was. Did he also didn't he also become president or CEO of the company? Yes, he did at a much later time, yes. ; But he at one time he was, I think at this time, actually, he was the kind of the person in charge see in of the Marlboro brand? That's correct. ji All right. And Al Udow, that's a name we'11 some more documents. But who is Mr. Udow? He worked in the Marketing Research j; Department in consumer research, and he was a senior i manager of the we were Roper s Roper o previou sources particu associate director. Okay. So he's writing about the highlights special Roper study on young smokers? Yes. And this is now in July 197'4? Yes. I This is a few years after the last documents looking at there that were, I think, from 1970? This is four years later. But Roper, it's the same organization. The tudy they're references hearing is that same rganization that we were talking about sly? Yes, it is. i Bud Roper? Yes. \ It says, ""There is evidence from many to suggest some new trends in the marketplace, larly among young smokers. Because of the implications, especially from Marlboro, of any change among young smokers, we commission the Roper organization to undertake a special personal interview study among a nationwide sampling of smokers up to the age of 24 with interviewing being done June 7th, 15th, 1974. Attached is our summary of the highlights of that study. Bud Roper will be here personally to put on a presentation of the findings as he sees them on the morning of August 8. Invitations will be sent out soon as soon as details are firmed up. Al Udow."""
Did I read that correctly?,"Yes, you did. (Plaintiff's Exhibit No. PT2827 for i.d.)"
"And then PT2827 is a document that is entitled ""The New Competition For Marlboro's Franchise.""",That's correct. 0 Q. And from the Philip Morris USA marketing research July 1974?
Is it your understanding that this is the 4 document being referenced in this previous memo?,It's my understanding that this is the data tied to a presentation that's going to be given.
Okay.,But this is going this talks about a presentation.
Right.,Which this isn't in a format that would be used necessarily for a presentation.
Yeah.,"But if you're asking me are they related, I believe they are related."
"Right. Like in this memo from Mr. Udow, it says, ""Attached is our summary of """,Right.
""" the highlights of that study?",Yes.
Your understanding is this is that attachment?,"It should be that attachment, I believe."
So this is the new competition for Marlboro's franchise as we mentioned July 1974?,Yes.
"All right. And so if you look at just the first page there, it's actually page two, I think, but, yeah, the first page it says, ""The problem..."" Do you see that?",Uh-huh.
"Okay. So ""The problem is identified as for the past year Marlboro's growth in share of market has slowed down considerably. Marlboro Red in particular has shown evidence of loss of momentum."" That was the problem they identified?",Yes.
"And at the bottom it says what was done there, and they say, ""The Roper organization was commissioned to undertake the study summarized here with the intention of probing the dynamics of the market among the smokers below the age of 24."" And in parenthesis it says, ""(This was not the usual, quote, 'sample' of age 18 to 24. In this study no lower age limit was set.)"" Close paren. Right?",Yes.
So they did they're doing they recognize there was a problem with Marlboro's growth and share of market slowing down. And so they commission the Roper organization to undertake a little bit different study than they had done in the past. Is that fair?,No.
"Okay. A, That's not fair",
I'm just reading from the documents. So tell me why it's not fair.,"It's different from the usual study that's been done across the organization, I think. I don't think. It says usual sample of age in this study no so this was not the usual. Not just for Roper."
Right.,"This was not the usual sample for all of the research that's done, which would include that Consumer Tracking Study you showed me quite a while ago, the 1970 tracking study, so they're saying this is unusual for the general business practice of the company. I don't think he's saying this is just unusual for Roper."
Okay.,I think there's a big difference.
Okay. All right. And I appreciate the clarification. I do.,Okay.
"So the problem is Marlboro's growth and 0 share of market was slowing down. And what was done, the Roper organization was commissioned to undertake the study summarized here, which, as you pointed out, was not the usual sample of age 18 to 24. In this 4 study no lower age limit was set.","That's yes. which is Okay. And so if we look at the next page, 3, 2827-3 at the bottom, at the top there it says, ""Young smokers were sought out in 35 locations around the country at popular, quote, hangouts, at drive-ins, bowling alleys, near military bases, at beaches, provided et cetera. The resulting 1,050 interviews data that match the more carefully controlled ji sampling procedures of the National Tracking Study."" Did I read that correctly? Yes. Okay. And so like it shows down there in the chart there's the 18 to 24 '74 tracking study, which is right like the we looked at the 1970, I think, Yes. National Tracking Study? And then there's this study which is age to done by Roper? Yes. All right. So if we look at the next page of this document under findings Can I just have one second to just I Sure. Okay. All right."
"Yes. So under findings, findings number one there, ""The rapid growth and Kool's share..."" Kool is a brand of cigarettes that's made by Brown & Williamson?",Yes.
"Which is now part of R.J. Reynolds, but that was a competitor brand to Marlboro?","Yes, it was."
"""The rapid growth in Kool share and the slowing down of the rate of growth for Marlboro among young smokers is shown by this study to be closely interrelated and not just coincidental."" Did I read that correctly?","Yes, you did."
"So they were showing there was well, you know, the title of this highlights is the new competition for Marlboro's franchise. And, in essence, you know, the new competition is their Kool is what 0 they've come to find out.",That's what they're questioning and trying to learn about.
"Right. So among the other findings that 4 they have about the switch from Kool to Marlboro, that movement, if you go to page seven at the bottom right-hand corner 2827-7",Um-hum.
"for example, in finding five, they say, ""The most important reason is young smokers give for settling on their first regular brand..."" And that's what they're looking at here is what is these young smokers' first regular brand; is that fair?",Yes.
"So the most important reason given is what we might call peer pressure. In their words they say, like, ""My friends/schoolmates smoked them; 'everybody...'"" in quotes, ""...smoked them,"" and, ""My parents smoked them."" You see that?",I do.
"And by far, you know, my friends and schoolmates and everybody added together is much larger than what their parents smoked?",Yes. 0 Q. Okay. And so that's what they're saying is that the important reason for this first regular brand choice is peer pressure; is that fair?
Right.,"So if you're a teenager and your friends are smoking, and you haven't tried it, you're going to get a cigarette from them. You're going to get the brands that are popular with your peers."
"Urn-hum. And as they recognize there, you know, this tendency to go with the leader or to smoke the most popular brand, it feeds on itself because that just makes it more popular and it's like a self-sustaining sort of machine at that point?",
"Well, I mean",And then I see the statement here
Yeah.,"in this one study, but I can't come to conclusion that that's an accurate assessment of how things work."
"You don't think that the idea that, you know, as a brand became more and more popular with a segment or this younger smoker segment that it would sort of feed on itself? In other words, as the popularity grew, it would become more popular. And if kids are going to smoke what's popular, then they're going to smoke that brand? You don't see that cycle?",
"I mean, what I'm saying is you don't agree with that cycle?","I don't know enough to assess that cycle because all of the work that I did with regard to brands was in among adults. All the work I did with the company was adult smokers or adults. And so I don't have enough information to answer that question. From the work in youth smoking prevention, the company understands that peer influence is the most important factor in why young people experimented with cigarettes. 0 Q. The Youth Smoking Prevention Department, did that all start '98; is that right, is that when that began?"
The Youth Smoking Prevention Department?,Right.
Okay.,"Prior to that there were initiatives in various departments. So in '98 they put it all together and expanded the role of with a, you know, people dedicated to working in youth smoking prevention."
"Well, we're just so you understand, we're focused today on this period of time during Miss Lourie's lifetime and during this, you know, 1970s, 1960s, '50s, the documents we looked at so far. And so what I want to ask you about is so for Philip Morris, the company's position on this issue that, you know, based upon the bulk of the work by Roper that was done to assess this problem of Marlboro's share of growth slowing, their recognition that, you know, the most popular brand and peer pressure are those most important influences for that first regular brand and 0 that as a brand becomes more popular that it sort of feeds itself, that tendency to go with the leader. That was Philip Morris's understanding of this problem at that time?",
"Well, did the company think the opposite? I mean, did they think that the less popular a brand was, the more it would sell?","I don't know of the company having a point of view on all of this. You know, you'll see things written in reports, and individuals have points of views, and they have insights, and they have they do analyses, and they think things. But everything that an individual thinks when they do a study doesn't ladder up to the company having a point of view."
Okay.,"I mean, if the company has a point of view, it comes from multiple sources."
"Well, I want to see if this one laddered up 0 to use your words.",Okay. (Plaintiff's Exhibit No. PT6024 for i.d.)
6024. I'm sorry. I I don't want to hand it to you. I think he wants it look at it first.,
"So the 1071 that we looked at, the short memo from Al Udow attaching this highlights on the 10 Roper work was July 25th,",Yes.
"right? Same day what I've just handed you, which is PT6024, July 25th, 1974?",Yes.
And this is Al Udow to James Morgan?,Yes.
"And the subject of this is, proposal for further research on Marlboro and Kool trends. 0 A. Yes.",
"So this is another sort of letter detailing 2 some thoughts on this work that the Roper organization did different than their usual work, 18 to 24. This 4 was the, let's look at the younger smokers under 18. 5 MR. GERAGHTY: Objection to form.",". Is that fair? I mean, this is a proposal. And And I was just trying to put it in context. I just want to make sure that Yeah, please."
"Sure. I'm just what I'd asked you was, this relates to that same research that we looked at already, the work by the Roper organization.",I think this relates to the same problem that the slowing of the momentum of Marlboro and the increased interest by Kool smokers than Marlboro and that it certainly was the topic in the Roper memo.
Right.,So it certainly relates to the concern about Marlboro's Marlboro's momentum slowing.
"Yeah. I mean, let's just read it. That 2 will probably help. Then we can talk about it.","Okay. 4 Q. ""The current Roper report on young 5 smokers..."" which is we referred to ""...documents the existence..."" underline ""...of the problem of Kool eating into the Marlboro franchise and puts dimensions..."" underlined ""...on the size of the problem. We need to go further into the matter in order to come up with a "" "" with direction for what to do..."" underline ""...about the problem. It is the purpose of this memo to recommend a program of research to lead to action recommendations."" Did I read that correctly?"
"So the same thing, Marlboro losing share to Kool among these very young smokers. And Al Udow says that this memo is to recommend research to lead to action recommendations?",Yes.
"So and then he says, first he starts out, though, it says, ""Why the current trends? There are these hypotheses:"" So there's A, B and then one and two under B. So A, ""However right the marketing 0 approach for Marlboro in motivating young people in the past, it might be less right, less relevant in the present. ""B, Kool might be doing something even more 4 right for these young people in these times."" And then under B you have one and two. ""This could be the result of some specific marketing activity of Kool's or it could be the product of a sociological development into which Kool happens to fit."" Did I read that correctly?",Yes.
"All right. So based on what Al Udow knows about this issue, however right marketing was in the past for motivating young people to smoke Marlboro, it may be less right, less relevant in 1974 where we're seeing our share decline?",
Is that a fair characterization of what he's saying in here?,I think the characterization is what he's saying is here or here's my thinking on what might be some of the reasons for Marlboro's slow slowing down momentum relative to Kool among young people. I think that's the essence of what he's saying. 0 Q. Right. Here's my theories.
"Here are my ideas, right?","Right. 4 Q. Okay. And, you know, maybe Kool has some new marketing activity that's increasing their share or maybe it's just that times have changed and that what Kool offers better fits kids, these young smokers today?"
"That's essentially what he has under one and two for Kool, right?",Right. But the previous study was individuals up to age 24.
Um-hum.,"So I think he's referencing young people. I don't know necessarily if he's tying this back to a specific segment. But, yes, I think that he's saying, hey^ here's some things that I think."
"Right. And that study up to age 24 was different because the usual study with 18 to 24, this one had no lower age limit, right?",Usual study was 18 and older up to.
"Right. The one they reference in there was 2 18 to 24, that segment. This new Roper one is up to age 24 with no lower age limit, right?",Right. But the usual studies are 18 and 5 over.
Yeah.,And but then he pulled out the data for the 18 and 24-year-olds in this document.
"Right. This is different, though, in what Al Udow is talking about here in PT6024 is different because it's a study that doesn't have a lower age limit, right?","I thin he's proposing new studies, yeah."
But he's talking about that Roper study that didn't have a lower age group?,"Oh, yeah."
Yeah. That's what I was trying to get at.,I think so.
"So he says, ""In a sense, then, these brands project different self-images. Marlboro equals freedom, independence, grown up, out from under the apron strings. Kool equals a rejection of the classical societal patterns, a rebellion. Not just cutting loose from the family but rejection of the 0 society that was built by the parents."" You know, that's how he's describing Kool.",That's what he thinks. Yep.
"So if you go to the second page, then, he 4 has kind of what to do. So this was the why the 5 current trends section. The next page has the what to do section.",Okay.
"""It would be easier if we would credit Kool's advertising with being the underlying cause of the phenomenon. Judgment says that Kool's advertising is essentially bland and descriptive, at least graphically, rather than being directed to the market movements noted here. Thus, it is not a case of designing new Marlboro advertising to counter effective Kool advertising."" Correct?","That's what it say, yep."
"Yeah. So he goes on to say, ""We are probably faced with the difficult problem of designing a whole new marketing strategy to counteract what may well be a cultural phenomenon. This is no easy task."" Right?","Right. So he's saying, don't just change the advertising. Change all the marketing programs, I think."
Right. It's not just it's not just as simple as running a new advertising campaign?,"Right. 4 Q. Would it be right and possible for Marlboro somehow to communicate to young people that it is aware of the current culture climate of the young smoker and that it is more representative and symbolic of this lifestyle than any other brand? Would a Marlboro with such an image capture more first brand smokers, more switchers in later on, hold smokers against switching away? Would it avoid alienating Marlboro's current smokers including the older ones? Would such an approach be compatible with the current Marlboro image? Could it be used in parallel with the current campaign?"" So some of these things he's just posing questions, right?"
"But when he's talking about it, what he's looking at is he's looking at if we did this, if we have a new marketing strategy, would we capture more first brand smokers. Right?",I think that's one of the questions he's asking. I think he's looking much more broadly than that.
Yeah.,H e ' s k i n d of coming up w i t h d i f f e r e n t thoughts on what he would think or important questions to be answered.
"I mean, the problem they've defined is that Marlboro's losing share of market to Kool. Right?",Yes.
So Marlboro's share is decreasing?,"No, Marlboro's share is growing more slowly."
"Okay. That's a fair way to put it, right, better way to put it, it's growing more slowly?",Um-hum.
Its growth rate is decreasing?,Yes.
"Okay. And so, you know, that growth rate, there's three sort of sources for that growth rate. Marlboro smokers can be first brand smokers. Marlboro can be the first brand they smoke and they stay with it.",(Nodding head).
"Marlboro could gain switchers, people who smoked Kool or something else and switched to Marlboro?",(Nodding head).
"Or they could keep people smoking Marlboro and not switch away. Those are the sort of the three ways that their growth, their share of market can grow, right?",That's -- that would be correct. i
"Right. And so an approach that he details down there below is having three concurrent campaigns for Marlboro, right?",Yes. j
"And looking at the campaigns, he's got the using the cowboy as it is for Red. Don't change a winner, except possibly younger cowboys, right?","That's what he say, yeah. jl"
"Number two is, ""Women and young people showing Marlboro 100s and Lights.""",Yes. \
"Number three is, ""Young men, aged 25 to 30, not cowboys, informally dressed showing Green only,"" right?","That's what's written here. This is his j suggestion, yes. ji"
"And Green is Marlboro Green, the menthol brand?",Yes. ;
"The Red is Marlboro Red, the full flavor Marlboro filter?",Yes. \
"So the reason we look at this document and the point that I want to see if you agree with is that Philip Morris was concerned about this declining growth rate in Marlboro, right?",Yes. They were concerned. They were interested in understanding the slowing down or the momentum of Marlboro at this time.
"And after doing some work with Roper, it appeared the problem was the younger smokers, the ones under 18 who they weren't capturing before and changes going on with that segment of the market?",
Let me show you PT5054. Okay. Have you had a chance to see it?,I've seen it.
So this PT5054.,Yes.
"It's an analysis of Marlboro Menthol, which is the Green, right?",Yes.
In Grand Rapids?,Yes.
"And we can go through the document section by section line by line. But would you agree with me that this document recognizes that the success of Marlboro Green in this market in Grand Rapids, September 1974 is due to the number of teenagers that are smoking its brand?","It suggests that that's a factor in the success, yes."
"I mean, it suggests","In this particular market, yes."
Right. It suggests that it's the most significant factor?,"That's what it suggests. I don't know if it, in fact, is because this is an individual who went to a few stores and wrote a memo about that experience and came to a conclusion. 0 Q. Right."
"Well, let's look at just a couple sections, I guess, then.",Okay.
"So under the findings there's a number of different sections down there, right?","I mean, right, they're yes."
"He's just got numbered paragraphs or numbered sections, if you will, looks like five of them. Six.",Yep.
"Yep. So looking at number two there, store type and location, he says, ""Of the seven supermarkets I visited, not one showed any great movement of Marlboro Greens."" The supermarkets, right?",Yes.
"""Most of the stores showed only one column of Greens in their cigarette section (cartons).""",Yes.
"""On the other hand, all of the convenience stores I checked indicated Marlboro Menthol moved very well. And the store located closest "" excuse me "" close to high schools said its movement was exceptional."" Right?","Yes. That's what he wrote, yep."
That's what he says?,Yep.
"If you look at the next page, he cites a specific example there. He says, ""A specific example..."" At the top.",Oh.
"""... of Marlboro Greens' success in convenience store outlets is shown by a store located near a high school reporting both Marlboro Green and Red movement at 60 cartons a week each, while Kool, 13 which is the overall market leader, was moving at cartons a week. ""Also, the..."" And excuse me. And if you look above that, he says that in the supermarkets the average was 24 cartons a week of Greens. I'm sorry. Strike that. 18 cartons a week for the supermarkets. But 0 this one store that's located near a high school is selling 60 cartons a week of the Greens and the Reds. 2 MR. GERAGHTY: I'm I think you drew the wrong comparison there. The 18 is referencing Kools, I think.",
"I think that well, let's look at it. Okay. So the sentence kind of carries over on both sides. But if you we'll read that sentence, the bottom of the first page.",Okay.
"It's talking, again, like we mentioned, the that the 14 convenience stores were doing exceptional movement. The supermarkets, not one showed any great movement of Marlboro Greens, right?",Yes.
"And this is verified by the fact that of all the stores visited, the convenience stores which had much less traffic than supermarkets order on the 15 average of 24 cartons a week of Greens compared to cartons a week for the supermarkets, right?",Yes.
So the supermarkets are only ordering like 18 cartons a week of these Greens?,Right. Yes.
"But a specific example of Marlboro Greens' success in convenience store outlets is shown by a store, one store, located near a high school, reporting 4 both Marlboro Green and Red movement at 60 cartons a 25 week each. So 60 cartons of Marlboro Green and cartons of Marlboro Red, right?",Yes.
"And then he says, Kool in that store was only moving 30 cartons a week.",But I don't conclude that all those cigarettes were being purchased by young people
Sure.,just because it was near the high school.
You're right. That's a fair point.,But it is that's what the store is selling.
"But they're selling 18 cartons a week in the supermarkets, and they're selling 60 cartons a week at the store located near the high school, right?","Well, sure. The convenience store trade class is much larger than the supermarket trade class in the cigarette category."
But what I'm pointing out is is that the one near the high school is the one that's selling cartons a week.,Yes.
Right?,"week? No, they buy a pack a day. I' m sorry. Excuse me. A pack a day. Thank i; So I It could have been the your math doesn't work. That's fair. And I'm not trying to it . it wasn't an effort to try and do anything than the fact that most of the sales were packs, not cartons."
Thank you.,And that's
"If you look at the next one down, type of consumer, I think we'll get some more clarification to your point that they weren't all, you know, who knows if they were all high school, right? It says, ""It was evident from the location of the convenience stores doing the best Marlboro Green business near high schools that the majority of the sales were to teenagers."" Did I read that correctly?","Yes, you did."
"Okay. ""I was told..."" ""In the information I received from the proprietors of these stores strengthened this view. I was told that almost all Marlboro Green being purchased was being purchased by teenagers while Red and Kools were doing well among all age groups with whites and Kools doing exceptionally well with blacks. In no instance did a convenience store report Greens being sold in any great number to people above college age level."" Did I read that correctly?","Yes. So and that is exactly the point I was jj making, because teenagers can be 18 and 19. They're jj not necessarily not necessarily underage. So I jj wanted to make sure that you properly interpreted this. j"
"It could be that this one store near the high school was selling all of these Greens to college students who happened to just frequent that store who were over the age of 18, right?",
Right.,So I was just making the point that j
Yeah.,"you can't assume all of those, the sales j from one that all are in h Marlboro store just because it's near a high school i of those sales are going to individuals who ji igh school. Okay. Okay. j He did say, ""I was told that almost all Green was being purchased by teenagers."" Right? Right, who could be 18 or 19. \ Could have been. Yep. \ Maybe it was all 18, 19-year-olds, right?"
"""Probably the greatest influence on young people to smoke Marlboro Greens is other young people. Marlboro Red is very strong here, as it is nationally with the young, and the peer group influence has played a strong part in directing teenagers toward a Marlboro brand."" Did I read that correctly?","Yes, you did."
"And that's similar to what we were looking at earlier in the document from the highlights on or I forget which one it was, but the document where it talks about the fact that tendency to go with the leader, go with the popular brand feeds on itself, that kids teenagers, excuse me, will smoke the most popular brand most commonly?",
"They can also get them from vending machines at this time, right?","At this time, there were vending machines."
"Yeah, let's look at number six, the next page, under vending.",Next page under vending. Okay.
Top under six. Yeah.,Um-hum.
So at the end of that paragraph,Yeah.
"it says, ""Areas with little student traffic will carry at the most one column of Greens, while areas with heavy student traffic will show multiple columns."" Did I read that correctly?",And can we go back to see where he was where the vending machines were located?
"Well, I think it's saying areas where there's heavy student traffic, students being high school students.","Okay. Yes, you read it correctly."
Okay.,I'm with you.
